400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforMarch 21, 2025
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY250321C00500000 2023-01-23 1:54PM EST 500.00 15.59 13.50 17.50 0.00 - 4 22 20.30%
SPY250321C00505000 2023-01-24 1:18PM EST 505.00 13.95 11.00 16.00 -1.05 -7.00% 2 20 19.99%
SPY250321C00510000 2023-01-03 12:46PM EST 510.00 12.32 10.00 15.00 0.00 - 1 2 19.91%
SPY250321C00515000 2022-12-15 1:49PM EST 515.00 14.66 9.00 18.50 0.00 - - 0 22.20%
SPY250321C00520000 2023-01-23 11:04AM EST 520.00 10.80 9.60 13.00 0.00 - 2 9 19.67%
SPY250321C00525000 2023-01-24 3:46PM EST 525.00 9.30 7.00 12.00 -0.70 -7.00% 3 3 19.50%
SPY250321C00545000 2022-12-15 3:16PM EST 545.00 10.50 6.43 11.25 0.00 - 2 11 20.61%
SPY250321C00550000 2023-01-18 10:45AM EST 550.00 6.25 4.50 7.00 0.00 - 5 3 18.09%
SPY250321C00555000 2022-12-15 2:59PM EST 555.00 9.00 4.10 12.00 0.00 - - 1 21.81%
SPY250321C00570000 2023-01-19 9:30AM EST 570.00 0.95 2.00 7.00 0.00 - 2 1 19.43%
SPY250321C00575000 2023-01-23 12:38PM EST 575.00 4.20 1.73 6.50 0.00 - 51 2 19.35%
SPY250321C00590000 2022-12-29 9:56AM EST 590.00 3.90 2.58 6.00 0.00 - 2 2 19.86%
SPY250321C00595000 2023-01-19 3:54PM EST 595.00 2.24 1.73 5.50 0.00 - - 2 19.72%
SPY250321C00600000 2023-01-19 3:54PM EST 600.00 2.30 0.00 5.50 0.00 - 6 27 20.01%
SPY250321C00605000 2023-01-23 3:21PM EST 605.00 2.96 0.99 5.00 0.00 - 1 17 19.83%
PutsforMarch 21, 2025
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY250321P00180000 2023-01-24 3:07PM EST 180.00 2.58 0.01 3.00 -0.38 -12.84% 2 155 33.91%
SPY250321P00185000 2023-01-24 3:08PM EST 185.00 2.53 0.00 3.30 +0.03 +1.20% 2 25 33.56%
SPY250321P00190000 2023-01-06 11:46AM EST 190.00 3.30 0.50 5.50 0.00 - 1 1 36.67%
SPY250321P00200000 2023-01-23 11:18AM EST 200.00 3.20 0.50 3.65 0.00 - 4 10 31.29%
SPY250321P00215000 2022-12-28 9:47AM EST 215.00 5.00 1.50 6.50 0.00 - - 1 32.89%
SPY250321P00220000 2022-12-16 9:46AM EST 220.00 6.50 3.16 10.00 0.00 - 1 1 36.15%
SPY250321P00230000 2023-01-11 3:41PM EST 230.00 5.57 2.50 7.50 0.00 - 1 0 31.18%
SPY250321P00235000 2023-01-23 3:21PM EST 235.00 5.11 3.00 8.00 0.00 - 2 6 30.79%
SPY250321P00240000 2022-12-12 3:25PM EST 240.00 8.00 4.45 8.50 0.00 - - 2 30.38%
SPY250321P00250000 2023-01-23 3:09PM EST 250.00 7.83 4.00 0.00 0.00 - 1 356 6.25%
SPY250321P00260000 2023-01-19 3:29PM EST 260.00 7.79 5.00 10.00 0.00 - 2 9 28.08%
SPY250321P00265000 2022-12-22 1:47PM EST 265.00 12.09 6.00 11.00 0.00 - 1 4 28.05%
SPY250321P00270000 2023-01-20 10:46AM EST 270.00 9.90 6.00 10.00 0.00 - 1 3 26.24%
SPY250321P00275000 2022-12-27 9:30AM EST 275.00 13.50 6.50 10.15 0.00 - - 1 25.47%
SPY250321P00280000 2023-01-20 10:32AM EST 280.00 11.15 7.00 10.90 0.00 - 1 9 25.21%
SPY250321P00285000 2023-01-23 11:12AM EST 285.00 11.11 9.20 11.10 0.00 - 1 1 24.48%
SPY250321P00290000 2023-01-11 1:15PM EST 290.00 12.60 8.00 12.75 0.00 - 1 12 24.86%
SPY250321P00295000 2022-12-16 12:42PM EST 295.00 17.63 6.50 16.00 0.00 - 50 53 26.27%
SPY250321P00300000 2023-01-19 11:43AM EST 300.00 15.00 12.05 13.30 0.00 - 2 61 23.45%
SPY250321P00305000 2022-12-30 2:57PM EST 305.00 20.50 10.50 14.00 0.00 - 3 6 23.04%
SPY250321P00310000 2022-12-27 10:03AM EST 310.00 19.50 11.00 16.00 0.00 - 1 31 23.46%
SPY250321P00315000 2023-01-06 10:25AM EST 315.00 19.20 12.00 17.00 0.00 - 1 3 23.17%
SPY250321P00320000 2022-12-28 1:39PM EST 320.00 21.81 13.00 18.00 0.00 - 60 63 22.86%
SPY250321P00325000 2023-01-11 2:11PM EST 325.00 18.50 14.00 18.00 0.00 - 3 10 21.93%
SPY250321P00335000 2022-12-02 10:17AM EST 335.00 21.77 22.00 27.00 0.00 - 1 1 25.01%
SPY250321P00340000 2023-01-23 3:45PM EST 340.00 19.68 17.00 22.00 0.00 - 2 13 21.35%
SPY250321P00345000 2022-12-30 2:57PM EST 345.00 26.50 18.00 23.00 0.00 - 3 3 20.91%
SPY250321P00350000 2023-01-23 11:07AM EST 350.00 22.80 19.00 24.00 0.00 - 2 32 20.46%
SPY250321P00355000 2023-01-23 11:23AM EST 355.00 24.09 20.50 25.50 0.00 - 1 2 20.23%
SPY250321P00360000 2023-01-12 2:23PM EST 360.00 26.16 21.50 26.50 0.00 - 2 21 19.72%
SPY250321P00365000 2023-01-09 11:23AM EST 365.00 30.00 23.00 28.00 0.00 - 3 0 19.43%
SPY250321P00370000 2023-01-12 12:37PM EST 370.00 27.00 24.50 29.50 0.00 - 3 4 19.11%
SPY250321P00375000 2023-01-23 1:12PM EST 375.00 29.02 26.00 31.00 0.00 - 3 8 18.76%
SPY250321P00380000 2023-01-23 3:46PM EST 380.00 31.49 27.50 32.50 0.00 - 5 12 18.38%
SPY250321P00385000 2023-01-24 10:45AM EST 385.00 32.42 29.00 34.00 -4.58 -12.38% 5 28 17.97%
SPY250321P00390000 2023-01-19 9:33AM EST 390.00 34.00 31.00 35.50 -5.00 -12.82% 1 20 17.52%
SPY250321P00395000 2023-01-24 3:49PM EST 395.00 34.25 32.00 37.00 -1.00 -2.84% 1 6 17.04%
SPY250321P00400000 2023-01-23 3:46PM EST 400.00 38.10 34.00 39.00 0.00 - 3 99 16.74%
SPY250321P00405000 2022-12-21 4:04PM EST 405.00 50.77 39.00 44.00 0.00 - - 1 17.69%
SPY250321P00410000 2023-01-12 9:40AM EST 410.00 46.35 37.50 42.50 0.00 - 1 21 15.82%
SPY250321P00415000 2022-12-28 12:49PM EST 415.00 57.61 40.00 45.00 0.00 - 1 4 15.61%
SPY250321P00420000 2022-12-29 11:21AM EST 420.00 57.55 42.00 47.00 0.00 - 9 11 15.14%
SPY250321P00425000 2023-01-20 2:05PM EST 425.00 50.33 44.50 49.50 0.00 - 1 1 14.85%
SPY250321P00430000 2023-01-06 10:22AM EST 430.00 62.42 46.50 51.50 0.00 - 1 9 14.28%
SPY250321P00435000 2023-01-20 2:11PM EST 435.00 57.37 48.50 53.50 0.00 - 1 1 13.65%
SPY250321P00440000 2022-12-30 3:40PM EST 440.00 69.88 51.00 56.00 0.00 - 5 0 13.17%
SPY250321P00445000 2022-12-29 10:41AM EST 445.00 72.05 54.00 59.00 0.00 - - 1 12.87%
SPY250321P00450000 2022-12-27 10:06AM EST 450.00 75.03 56.50 61.50 0.00 - 34 73 12.24%
SPY250321P00455000 2023-01-09 1:06PM EST 455.00 72.00 59.50 64.50 0.00 - 4 0 11.77%
SPY250321P00460000 2023-01-09 1:47PM EST 460.00 76.63 63.00 68.00 0.00 - 8 14 11.48%
SPY250321P00465000 2023-01-09 1:21PM EST 465.00 78.50 66.00 71.00 0.00 - 37 21 10.79%
SPY250321P00470000 2023-01-09 12:37PM EST 470.00 82.12 69.50 74.50 0.00 - 35 36 10.27%
SPY250321P00475000 2023-01-12 10:02AM EST 475.00 83.53 73.50 78.50 0.00 - - 78 9.97%
SPY250321P00480000 2023-01-18 1:47PM EST 480.00 87.01 78.00 82.50 0.00 - 4 28 9.53%
SPY250321P00485000 2022-12-20 3:33PM EST 485.00 105.50 91.00 100.99 0.00 - - 2 18.24%
SPY250321P00490000 2022-12-23 3:20PM EST 490.00 108.00 92.00 97.00 0.00 - 5 5 13.69%
SPY250321P00500000 2022-12-22 3:29PM EST 500.00 119.80 102.00 107.00 0.00 - 7 0 14.53%
SPY250321P00510000 2023-01-05 9:43AM EST 510.00 130.00 106.50 111.50 0.00 - 5 0 10.61%
SPY250321P00515000 2023-01-13 9:34AM EST 515.00 121.00 111.50 116.50 0.00 - - 0 10.93%
SPY250321P00600000 2022-12-28 1:08PM EST 600.00 219.02 196.50 201.50 0.00 - 1 0 15.76%
