400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforDecember 15, 2023
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY231215C00400000 2023-01-24 3:54PM EST 400.00 35.86 35.05 37.94 -0.44 -1.21% 86 11,569 25.17%
SPY231215C00405000 2023-01-23 3:10PM EST 405.00 33.09 31.88 34.71 0.00 - 7 4,794 24.50%
SPY231215C00410000 2023-01-24 4:11PM EST 410.00 29.27 28.86 31.56 -1.86 -5.97% 39 5,119 23.81%
SPY231215C00415000 2023-01-24 12:22PM EST 415.00 27.29 25.92 28.67 -0.17 -0.62% 2 1,368 23.23%
SPY231215C00420000 2023-01-24 3:50PM EST 420.00 23.88 23.14 25.72 -0.81 -3.28% 422 9,192 22.53%
SPY231215C00425000 2023-01-24 3:50PM EST 425.00 21.19 20.48 23.07 -0.78 -3.55% 5 6,278 21.95%
SPY231215C00430000 2023-01-24 10:09AM EST 430.00 18.50 18.00 20.45 -1.35 -6.80% 1 3,114 21.31%
SPY231215C00435000 2023-01-23 3:12PM EST 435.00 17.09 15.66 18.07 0.00 - 81 5,063 20.75%
SPY231215C00440000 2023-01-24 1:04PM EST 440.00 14.56 14.30 15.82 -0.83 -5.39% 3,002 5,076 20.17%
SPY231215C00445000 2023-01-24 9:57AM EST 445.00 12.50 11.54 13.75 -0.41 -3.18% 1 7,525 19.63%
SPY231215C00450000 2023-01-24 12:09PM EST 450.00 11.00 10.00 11.88 -0.35 -3.08% 1,284 8,192 19.12%
SPY231215C00455000 2023-01-24 2:04PM EST 455.00 9.00 8.18 10.19 +0.07 +0.78% 16 6,563 18.65%
SPY231215C00460000 2023-01-24 3:43PM EST 460.00 7.47 6.79 8.69 -1.10 -12.84% 8 3,494 18.21%
SPY231215C00465000 2023-01-24 3:37PM EST 465.00 6.31 5.58 7.38 -0.83 -11.62% 4 4,077 17.82%
SPY231215C00470000 2023-01-24 3:28PM EST 470.00 5.33 4.55 6.25 0.00 - 10 2,655 17.48%
SPY231215C00475000 2023-01-23 1:56PM EST 475.00 5.00 3.68 5.28 0.00 - 253 1,472 17.19%
SPY231215C00480000 2023-01-24 4:13PM EST 480.00 3.84 2.96 4.46 -0.07 -1.79% 27 28,268 16.94%
SPY231215C00485000 2023-01-24 3:22PM EST 485.00 3.00 2.36 3.78 -0.31 -9.37% 4 2,157 16.75%
SPY231215C00490000 2023-01-24 10:25AM EST 490.00 2.47 2.25 3.22 -0.29 -10.51% 1 7,177 16.62%
SPY231215C00495000 2023-01-23 3:43PM EST 495.00 2.32 1.48 2.60 0.00 - 55 2,603 16.29%
SPY231215C00500000 2023-01-24 4:01PM EST 500.00 1.74 1.62 2.00 -0.11 -5.95% 23 13,161 15.83%
