400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforFebruary 2, 2023
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY230202P00332000 2023-01-20 2:00PM EST 332.00 0.05 0.03 0.04 0.00 - 1 1 46.09%
SPY230202P00340000 2023-01-24 3:17PM EST 340.00 0.04 0.04 0.05 -0.01 -20.00% 417 56 41.80%
SPY230202P00346000 2023-01-24 1:08PM EST 346.00 0.04 0.05 0.06 -0.01 -20.00% 1 2 38.48%
SPY230202P00348000 2023-01-24 10:48AM EST 348.00 0.05 0.05 0.06 -0.01 -16.67% 5 31 37.11%
SPY230202P00349000 2023-01-20 1:06PM EST 349.00 0.10 0.05 0.06 0.00 - 5 5 36.52%
SPY230202P00350000 2023-01-24 1:44PM EST 350.00 0.05 0.05 0.06 0.00 - 5 65 35.74%
SPY230202P00352000 2023-01-24 9:35AM EST 352.00 0.07 0.06 0.07 -0.06 -46.15% 1 2 35.16%
SPY230202P00353000 2023-01-23 11:32AM EST 353.00 0.07 0.06 0.07 0.00 - 2 2 34.38%
SPY230202P00354000 2023-01-24 10:07AM EST 354.00 0.09 0.06 0.07 +0.02 +28.57% 1 11 33.79%
SPY230202P00355000 2023-01-20 3:15PM EST 355.00 0.14 0.06 0.09 0.00 - 26 26 34.18%
SPY230202P00356000 2023-01-20 3:15PM EST 356.00 0.14 0.07 0.08 0.00 - 5 5 33.01%
SPY230202P00357000 2023-01-24 9:57AM EST 357.00 0.09 0.07 0.08 -0.06 -40.00% 8 3 32.23%
SPY230202P00358000 2023-01-24 9:46AM EST 358.00 0.09 0.07 0.09 -0.03 -25.00% 1 8 32.03%
SPY230202P00360000 2023-01-24 2:42PM EST 360.00 0.10 0.08 0.09 0.00 - 575 363 30.66%
SPY230202P00364000 2023-01-24 10:17AM EST 364.00 0.14 0.10 0.12 0.00 - 1 101 29.10%
SPY230202P00365000 2023-01-24 3:27PM EST 365.00 0.13 0.11 0.12 -0.03 -18.75% 7 10 28.32%
SPY230202P00366000 2023-01-24 3:23PM EST 366.00 0.14 0.12 0.14 -0.05 -26.32% 1 17 28.27%
SPY230202P00367000 2023-01-24 3:54PM EST 367.00 0.16 0.13 0.14 -0.01 -5.88% 22 23 27.54%
SPY230202P00368000 2023-01-24 1:59PM EST 368.00 0.15 0.14 0.15 -0.05 -25.00% 5 41 27.10%
SPY230202P00369000 2023-01-24 12:12PM EST 369.00 0.18 0.15 0.16 -0.04 -18.18% 10 33 26.66%
SPY230202P00370000 2023-01-24 3:46PM EST 370.00 0.21 0.16 0.18 -0.01 -4.55% 48 271 26.42%
SPY230202P00371000 2023-01-24 3:14PM EST 371.00 0.20 0.18 0.19 0.00 - 157 46 25.88%
SPY230202P00372000 2023-01-24 4:06PM EST 372.00 0.20 0.19 0.21 -0.03 -13.04% 39 44 25.56%
SPY230202P00373000 2023-01-24 2:01PM EST 373.00 0.24 0.21 0.22 -0.04 -14.29% 26 21 25.00%
SPY230202P00374000 2023-01-24 1:14PM EST 374.00 0.27 0.23 0.24 0.00 - 21 26 24.61%
SPY230202P00375000 2023-01-24 4:06PM EST 375.00 0.26 0.25 0.27 -0.06 -18.75% 62 146 24.34%
SPY230202P00376000 2023-01-24 4:03PM EST 376.00 0.29 0.28 0.29 -0.08 -21.62% 38 85 23.88%
SPY230202P00377000 2023-01-24 1:49PM EST 377.00 0.33 0.31 0.33 -0.17 -34.00% 50 179 23.66%
SPY230202P00378000 2023-01-24 1:28PM EST 378.00 0.39 0.34 0.36 -0.06 -13.33% 30 151 23.24%
SPY230202P00379000 2023-01-24 3:43PM EST 379.00 0.49 0.38 0.40 -0.14 -22.22% 11 74 22.93%
SPY230202P00380000 2023-01-24 3:33PM EST 380.00 0.50 0.43 0.45 -0.05 -9.09% 318 1,721 22.66%
SPY230202P00381000 2023-01-24 4:01PM EST 381.00 0.55 0.48 0.50 -0.08 -12.70% 49 270 22.34%
SPY230202P00382000 2023-01-24 2:52PM EST 382.00 0.56 0.54 0.56 -0.10 -15.15% 848 350 22.05%
SPY230202P00383000 2023-01-24 4:01PM EST 383.00 0.67 0.61 0.63 -0.06 -8.22% 39 491 21.78%
SPY230202P00384000 2023-01-24 3:41PM EST 384.00 0.87 0.69 0.71 -0.19 -17.92% 39 437 21.53%
SPY230202P00385000 2023-01-24 4:01PM EST 385.00 0.75 0.77 0.80 -0.15 -16.67% 399 561 21.28%
SPY230202P00386000 2023-01-24 3:21PM EST 386.00 0.96 0.87 0.89 -0.07 -6.80% 41 359 20.95%
SPY230202P00387000 2023-01-24 3:54PM EST 387.00 1.12 0.98 1.01 -0.07 -5.88% 129 681 20.75%
SPY230202P00388000 2023-01-24 4:01PM EST 388.00 1.18 1.10 1.14 -0.09 -7.09% 574 456 20.53%
SPY230202P00389000 2023-01-24 3:47PM EST 389.00 1.57 1.25 1.28 +0.04 +2.61% 129 693 20.26%
SPY230202P00390000 2023-01-24 4:13PM EST 390.00 1.39 1.40 1.44 -0.28 -16.77% 603 1,642 20.03%
SPY230202P00391000 2023-01-24 4:10PM EST 391.00 1.51 1.57 1.61 -0.26 -14.69% 323 1,822 19.75%
SPY230202P00392000 2023-01-24 4:02PM EST 392.00 1.71 1.76 1.81 -0.24 -12.31% 418 1,007 19.53%
SPY230202P00393000 2023-01-24 4:03PM EST 393.00 1.90 1.99 2.03 -0.40 -17.39% 302 1,272 19.30%
SPY230202P00394000 2023-01-24 4:10PM EST 394.00 2.10 2.22 2.27 -0.38 -15.32% 412 1,479 19.06%
SPY230202P00395000 2023-01-24 3:59PM EST 395.00 2.65 2.48 2.53 -0.20 -7.02% 7,528 1,187 18.78%
SPY230202P00396000 2023-01-24 4:11PM EST 396.00 2.64 2.78 2.82 -0.49 -15.65% 600 2,131 18.52%
SPY230202P00397000 2023-01-24 4:02PM EST 397.00 2.95 3.09 3.13 -0.39 -11.68% 466 1,694 18.23%
SPY230202P00398000 2023-01-24 4:10PM EST 398.00 3.22 3.42 3.48 -0.60 -15.71% 1,641 1,025 17.98%
SPY230202P00399000 2023-01-24 4:01PM EST 399.00 3.72 3.79 3.85 -0.50 -11.85% 994 1,338 17.68%
SPY230202P00400000 2023-01-24 4:10PM EST 400.00 3.98 4.20 4.25 -0.64 -13.85% 3,597 1,569 17.35%
SPY230202P00401000 2023-01-24 4:11PM EST 401.00 4.43 4.63 4.69 -0.57 -11.40% 1,806 1,471 17.05%
SPY230202P00402000 2023-01-24 4:13PM EST 402.00 5.19 5.10 5.16 -0.19 -3.53% 1,548 1,812 16.71%
SPY230202P00403000 2023-01-24 4:06PM EST 403.00 5.45 5.60 5.66 -0.74 -11.95% 1,037 2,654 16.33%
SPY230202P00405000 2023-01-24 11:05AM EST 405.00 7.12 6.35 6.88 -0.49 -6.44% 11 2,142 16.00%
SPY230202P00406000 2023-01-24 1:04PM EST 406.00 8.13 6.94 7.73 -0.12 -1.45% 16 2,295 16.68%
SPY230202P00408000 2023-01-24 3:42PM EST 408.00 9.81 8.21 8.82 +0.14 +1.45% 10 313 14.53%
SPY230202P00411000 2023-01-23 2:01PM EST 411.00 10.76 10.30 11.40 0.00 - 125 126 14.88%
SPY230202P00412000 2023-01-23 1:57PM EST 412.00 10.92 11.08 12.22 0.00 - 38 38 14.31%
SPY230202P00415000 2023-01-24 9:32AM EST 415.00 16.44 13.66 14.86 -3.67 -18.25% 2 2 11.52%
