400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforJune 30, 2023
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY230630C00372000 2023-01-06 3:25PM EST 372.00 36.84 42.24 44.08 0.00 - 52 180 27.49%
SPY230630C00373000 2022-12-20 10:15AM EST 373.00 34.38 34.79 35.28 0.00 - 2 11 18.40%
SPY230630C00374000 2023-01-18 11:21AM EST 374.00 38.41 40.69 42.50 0.00 - 1 34 27.12%
SPY230630C00375000 2023-01-23 3:00PM EST 375.00 40.27 39.92 41.72 0.00 - 81 174 26.94%
SPY230630C00376000 2023-01-12 9:40AM EST 376.00 37.07 39.16 40.95 0.00 - 1 10 26.77%
SPY230630C00377000 2023-01-23 11:15AM EST 377.00 40.15 38.40 40.08 0.00 - 4 569 26.49%
SPY230630C00378000 2023-01-03 12:26PM EST 378.00 28.40 37.64 39.40 0.00 - 6 57 26.41%
SPY230630C00379000 2023-01-17 11:52AM EST 379.00 37.00 36.89 38.64 0.00 - 2 20 26.23%
SPY230630C00380000 2023-01-24 9:43AM EST 380.00 35.85 36.15 37.88 -1.20 -3.24% 2 761 26.06%
SPY230630C00381000 2023-01-20 1:40PM EST 381.00 30.74 35.41 37.13 0.00 - 1 632 25.89%
SPY230630C00382000 2023-01-13 12:19PM EST 382.00 33.38 34.67 36.38 0.00 - 2 75 25.71%
SPY230630C00383000 2023-01-23 10:59AM EST 383.00 34.68 33.93 35.63 0.00 - 2 117 25.53%
SPY230630C00384000 2023-01-10 1:43PM EST 384.00 29.05 33.21 34.89 0.00 - 3 58 25.36%
SPY230630C00385000 2023-01-23 10:48AM EST 385.00 33.08 32.48 34.15 0.00 - 283 956 25.18%
SPY230630C00386000 2023-01-23 11:56AM EST 386.00 33.57 31.76 33.42 0.00 - 2 125 25.01%
SPY230630C00387000 2023-01-24 10:55AM EST 387.00 32.15 31.05 32.69 +3.22 +11.13% 1 34 24.83%
SPY230630C00388000 2023-01-19 10:53AM EST 388.00 24.20 30.35 31.97 0.00 - 5 29 24.66%
SPY230630C00389000 2023-01-23 2:40PM EST 389.00 30.43 29.64 31.25 0.00 - 2 125 24.48%
SPY230630C00390000 2023-01-24 9:43AM EST 390.00 28.78 28.94 30.54 -1.00 -3.36% 2 232 24.31%
SPY230630C00391000 2023-01-23 9:40AM EST 391.00 26.72 28.25 29.83 0.00 - 4 1,090 24.13%
