400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforMay 19, 2023
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY230519C00445000 2023-01-24 3:31PM EST 445.00 1.98 1.97 2.13 -0.18 -8.33% 44 421 15.83%
SPY230519C00450000 2023-01-24 4:01PM EST 450.00 1.47 1.39 1.53 -0.01 -0.68% 66 273 15.53%
SPY230519C00455000 2023-01-24 3:52PM EST 455.00 1.00 0.98 1.08 -0.05 -4.76% 39 204 15.27%
SPY230519C00460000 2023-01-24 4:01PM EST 460.00 0.77 0.69 0.78 0.00 - 528 2,414 15.17%
SPY230519C00465000 2023-01-24 4:01PM EST 465.00 0.57 0.49 0.57 -0.02 -3.39% 29 211 15.14%
SPY230519C00470000 2023-01-24 2:22PM EST 470.00 0.40 0.36 0.42 -0.01 -2.44% 5 122 15.16%
SPY230519C00475000 2023-01-24 9:57AM EST 475.00 0.31 0.27 0.32 -0.02 -6.06% 15 2,586 15.28%
SPY230519C00480000 2023-01-24 11:24AM EST 480.00 0.26 0.20 0.25 0.00 - 6 650 15.47%
SPY230519C00485000 2023-01-24 11:24AM EST 485.00 0.20 0.15 0.20 -0.01 -4.76% 138 481 15.70%
SPY230519C00490000 2023-01-23 10:09AM EST 490.00 0.14 0.14 0.16 0.00 - 15 443 15.92%
SPY230519C00495000 2023-01-24 11:07AM EST 495.00 0.11 0.08 0.13 0.00 - 11 256 16.16%
SPY230519C00500000 2023-01-23 2:00PM EST 500.00 0.11 0.06 0.11 0.00 - 4 164 16.48%
SPY230519C00505000 2023-01-23 9:38AM EST 505.00 0.06 0.04 0.09 0.00 - 100 505 16.70%
SPY230519C00510000 2023-01-17 11:33AM EST 510.00 0.09 0.03 0.08 0.00 - 1 115 17.09%
SPY230519C00515000 2023-01-24 1:43PM EST 515.00 0.05 0.02 0.07 +0.01 +25.00% 200 35 17.43%
SPY230519C00520000 2023-01-24 11:17AM EST 520.00 0.05 0.01 0.06 +0.01 +25.00% 7 34 17.73%
SPY230519C00525000 2023-01-20 1:14PM EST 525.00 0.03 0.00 0.05 0.00 - 70 71 17.97%
SPY230519C00530000 2023-01-24 3:23PM EST 530.00 0.03 0.00 0.03 0.00 - 5 117 17.58%
SPY230519C00535000 2023-01-12 3:31PM EST 535.00 0.04 0.00 0.05 0.00 - - 20 19.04%
SPY230519C00550000 2023-01-23 3:57PM EST 550.00 0.03 0.02 0.04 0.00 - 150 170 20.22%
SPY230519C00555000 2023-01-18 10:56AM EST 555.00 0.02 0.00 0.04 0.00 - - 1 20.70%
SPY230519C00575000 2023-01-17 9:37AM EST 575.00 0.02 0.00 0.03 0.00 - 1 102 22.07%
SPY230519C00580000 2023-01-11 3:06PM EST 580.00 0.02 0.00 0.02 0.00 - - 4 21.88%
SPY230519C00585000 2023-01-18 12:21PM EST 585.00 0.01 0.00 0.03 0.00 - - 71 23.05%
SPY230519C00595000 2023-01-10 3:54PM EST 595.00 0.01 0.00 0.03 0.00 - - 100 24.02%
PutsforMay 19, 2023
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY230519P00180000 2023-01-24 1:49PM EST 180.00 0.14 0.12 0.15 -0.01 -6.67% 273 1,584 55.47%
SPY230519P00185000 2023-01-24 1:44PM EST 185.00 0.15 0.14 0.16 -0.01 -6.25% 165 910 54.30%
SPY230519P00190000 2023-01-24 3:53PM EST 190.00 0.17 0.00 0.18 -0.02 -10.53% 760 1,353 53.71%
SPY230519P00195000 2023-01-24 3:53PM EST 195.00 0.20 0.17 0.20 -0.01 -4.76% 1,431 1,658 52.15%
SPY230519P00200000 2023-01-24 2:53PM EST 200.00 0.20 0.19 0.22 -0.02 -9.09% 290 3,290 51.03%
SPY230519P00205000 2023-01-24 10:36AM EST 205.00 0.25 0.21 0.23 +0.01 +4.17% 2 14 50.05%
SPY230519P00210000 2023-01-23 2:47PM EST 210.00 0.27 0.23 0.25 0.00 - 1 58 48.93%
SPY230519P00215000 2023-01-24 12:54PM EST 215.00 0.26 0.25 0.28 -0.01 -3.70% 50 1,690 47.95%
SPY230519P00220000 2023-01-24 12:44PM EST 220.00 0.29 0.28 0.30 -0.01 -3.33% 300 1,041 46.75%
SPY230519P00225000 2023-01-24 12:30PM EST 225.00 0.33 0.30 0.33 0.00 - 2 252 45.73%
SPY230519P00230000 2023-01-24 11:57AM EST 230.00 0.36 0.33 0.35 0.00 - 3 150 44.48%
SPY230519P00235000 2023-01-24 11:00AM EST 235.00 0.39 0.36 0.38 -0.03 -7.14% 1 4 43.43%
SPY230519P00240000 2023-01-24 11:54AM EST 240.00 0.43 0.39 0.42 -0.05 -10.42% 4 48 42.48%
SPY230519P00245000 2023-01-24 2:03PM EST 245.00 0.45 0.43 0.45 -0.04 -8.16% 5 42 41.36%
SPY230519P00250000 2023-01-24 3:41PM EST 250.00 0.49 0.47 0.49 -0.02 -3.92% 1 512 40.33%
SPY230519P00255000 2023-01-23 11:30AM EST 255.00 0.55 0.51 0.54 0.00 - 1,821 1,842 39.40%
SPY230519P00260000 2023-01-24 12:04PM EST 260.00 0.61 0.55 0.58 0.00 - 3 1,079 38.33%
SPY230519P00265000 2023-01-24 12:34PM EST 265.00 0.65 0.61 0.63 -0.04 -5.80% 2 191 37.33%
SPY230519P00270000 2023-01-24 12:34PM EST 270.00 0.71 0.66 0.69 -0.05 -6.58% 16 139 36.40%
SPY230519P00275000 2023-01-24 10:40AM EST 275.00 0.80 0.72 0.75 +0.02 +2.56% 6 90 35.41%
SPY230519P00280000 2023-01-24 10:24AM EST 280.00 0.89 0.79 0.82 +0.01 +1.14% 6 281 34.47%
SPY230519P00285000 2023-01-24 12:18PM EST 285.00 0.92 0.86 0.90 0.00 - 3 1,621 33.56%
SPY230519P00290000 2023-01-24 3:21PM EST 290.00 0.97 0.94 0.98 -0.11 -10.19% 243 1,073 32.61%
SPY230519P00295000 2023-01-23 1:59PM EST 295.00 1.11 1.04 1.08 0.00 - 14 536 31.71%
SPY230519P00300000 2023-01-24 2:37PM EST 300.00 1.15 1.15 1.19 -0.14 -10.85% 382 2,696 30.84%
SPY230519P00305000 2023-01-24 2:42PM EST 305.00 1.29 1.27 1.32 -0.15 -10.42% 67 784 29.99%
SPY230519P00310000 2023-01-24 3:34PM EST 310.00 1.48 1.41 1.46 -0.10 -6.33% 145 4,475 29.13%
SPY230519P00315000 2023-01-24 1:19PM EST 315.00 1.61 1.57 1.62 -0.15 -8.52% 61 4,358 28.29%
SPY230519P00320000 2023-01-24 3:40PM EST 320.00 1.86 1.76 1.81 -0.06 -3.12% 175 3,531 27.49%
SPY230519P00325000 2023-01-24 3:54PM EST 325.00 2.06 1.97 2.03 -0.14 -6.36% 178 2,495 26.71%
SPY230519P00330000 2023-01-24 3:21PM EST 330.00 2.30 2.22 2.29 -0.14 -5.74% 7 3,941 25.97%
SPY230519P00335000 2023-01-24 3:59PM EST 335.00 2.62 2.51 2.59 -0.29 -9.97% 279 8,070 25.24%
SPY230519P00340000 2023-01-24 4:12PM EST 340.00 2.87 2.84 2.94 -0.24 -7.72% 17,398 1,970 24.53%
SPY230519P00345000 2023-01-24 3:42PM EST 345.00 3.47 3.24 3.33 -0.11 -3.07% 33 2,392 23.81%
SPY230519P00350000 2023-01-24 4:05PM EST 350.00 3.75 3.69 3.80 -0.34 -8.31% 414 4,723 23.13%
SPY230519P00351000 2023-01-24 12:34PM EST 351.00 4.05 3.79 3.90 +0.11 +2.79% 6 3,016 23.00%
