400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforJune 21, 2024
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY240621C00445000 2023-01-20 2:06PM EST 445.00 20.03 20.60 25.03 0.00 - 26 2,256 21.98%
SPY240621C00450000 2023-01-24 3:43PM EST 450.00 18.95 18.50 22.75 -1.39 -6.83% 3 3,885 21.52%
SPY240621C00455000 2023-01-20 11:04AM EST 455.00 15.74 16.42 20.60 0.00 - 38 1,060 21.07%
SPY240621C00460000 2023-01-23 10:00AM EST 460.00 16.57 14.53 18.59 0.00 - 7 6,783 20.64%
SPY240621C00465000 2023-01-20 11:03AM EST 465.00 12.50 12.79 16.72 0.00 - 6 1,262 20.23%
SPY240621C00470000 2023-01-19 12:29PM EST 470.00 10.70 11.19 15.00 0.00 - 6 919 19.86%
SPY240621C00475000 2023-01-24 2:26PM EST 475.00 11.10 9.95 13.42 -0.25 -2.20% 10 1,509 19.50%
SPY240621C00480000 2023-01-23 3:54PM EST 480.00 10.71 8.44 11.98 0.00 - 7 1,653 19.18%
SPY240621C00485000 2023-01-18 11:36AM EST 485.00 8.80 7.28 10.68 0.00 - 29 1,110 18.88%
SPY240621C00490000 2023-01-17 3:55PM EST 490.00 9.00 6.25 9.52 0.00 - 1 3,008 18.62%
SPY240621C00495000 2023-01-18 3:48PM EST 495.00 5.27 5.35 8.49 0.00 - 1 1,396 18.40%
SPY240621C00500000 2023-01-24 3:08PM EST 500.00 6.00 5.23 7.57 +0.24 +4.17% 12 2,342 18.20%
SPY240621C00505000 2023-01-20 9:39AM EST 505.00 4.30 3.88 6.76 0.00 - 1 296 18.04%
SPY240621C00510000 2023-01-23 2:46PM EST 510.00 4.80 4.50 6.05 0.00 - 34 936 17.90%
SPY240621C00515000 2023-01-24 3:46PM EST 515.00 4.00 3.90 5.43 -0.30 -6.98% 23 662 17.80%
SPY240621C00520000 2023-01-23 2:45PM EST 520.00 3.80 3.50 4.88 0.00 - 72 4,419 17.71%
SPY240621C00525000 2023-01-23 2:46PM EST 525.00 3.30 3.10 4.41 0.00 - 66 5,986 17.66%
SPY240621C00530000 2023-01-23 2:45PM EST 530.00 2.95 2.70 3.99 0.00 - 178 5,109 17.63%
SPY240621C00535000 2023-01-23 2:42PM EST 535.00 2.65 2.40 3.63 0.00 - 44 6,162 17.62%
SPY240621C00540000 2023-01-24 9:52AM EST 540.00 2.15 2.10 3.31 -0.15 -6.52% 10 8,597 17.62%
SPY240621C00545000 2023-01-24 9:53AM EST 545.00 1.95 1.90 3.04 -0.10 -4.88% 12 10,090 17.66%
SPY240621C00550000 2023-01-24 3:40PM EST 550.00 1.70 1.60 2.16 -0.16 -8.60% 150 12,677 16.74%
SPY240621C00555000 2023-01-24 2:28PM EST 555.00 1.54 1.50 2.58 +0.02 +1.32% 137 9,629 17.76%
SPY240621C00560000 2023-01-24 12:01PM EST 560.00 1.40 1.35 1.80 0.00 - 81 8,592 16.83%
SPY240621C00565000 2023-01-24 12:01PM EST 565.00 1.25 1.20 2.22 -0.03 -2.34% 76 6,199 17.91%
SPY240621C00570000 2023-01-24 3:40PM EST 570.00 1.10 1.00 1.50 -0.02 -1.79% 76 5,183 16.91%
SPY240621C00575000 2023-01-24 3:39PM EST 575.00 1.00 0.90 1.94 0.00 - 22 3,180 18.10%
SPY240621C00580000 2023-01-20 12:44PM EST 580.00 0.88 0.10 1.20 0.00 - 1 139 16.87%
SPY240621C00585000 2023-01-20 12:59PM EST 585.00 0.79 0.05 1.72 0.00 - 1 43 18.34%
SPY240621C00590000 2023-01-24 2:30PM EST 590.00 0.77 0.00 1.63 -1.48 -65.78% 12 11 18.47%
SPY240621C00595000 2023-01-23 1:51PM EST 595.00 0.70 0.00 1.54 0.00 - 17 28 18.59%
SPY240621C00600000 2023-01-24 10:59AM EST 600.00 0.60 0.17 1.47 -0.17 -22.08% 6 22 18.74%
SPY240621C00605000 2022-12-22 12:32PM EST 605.00 1.00 0.06 1.13 0.00 - 16 21 18.20%
SPY240621C00610000 2023-01-09 3:25PM EST 610.00 0.95 0.00 1.34 0.00 - 2 35 19.03%
