400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforSeptember 15, 2023
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY230915C00150000 2022-12-01 10:52AM EST 150.00 258.37 234.73 236.45 0.00 - 2 19 0.00%
SPY230915C00155000 2022-11-11 3:47PM EST 155.00 245.80 238.92 241.14 0.00 - 2 2 0.00%
SPY230915C00160000 2022-10-12 10:52AM EST 160.00 202.98 238.84 239.99 0.00 - 1 1 0.00%
SPY230915C00165000 2022-09-28 12:45PM EST 165.00 209.20 226.74 228.94 0.00 - 1 2 0.00%
SPY230915C00180000 2022-12-05 2:21PM EST 180.00 222.14 206.55 208.35 0.00 - 1 5 0.00%
SPY230915C00190000 2022-10-18 2:37PM EST 190.00 184.76 207.41 209.68 0.00 - 1 4 0.00%
SPY230915C00195000 2022-12-07 10:30AM EST 195.00 203.50 193.63 195.41 0.00 - - 11 0.00%
SPY230915C00200000 2022-12-20 12:00PM EST 200.00 186.00 193.38 194.26 0.00 - 1 15 0.00%
SPY230915C00210000 2023-01-17 10:26AM EST 210.00 194.90 194.11 196.81 0.00 - 10 20 58.81%
SPY230915C00215000 2022-11-15 9:32AM EST 215.00 192.83 181.37 182.67 0.00 - 1 12 0.00%
SPY230915C00220000 2023-01-06 3:36PM EST 220.00 173.68 184.54 187.24 0.00 - 6 13 56.39%
SPY230915C00225000 2023-01-06 11:14AM EST 225.00 166.38 179.76 182.46 0.00 - 2 3 55.19%
SPY230915C00230000 2022-11-15 10:27AM EST 230.00 179.09 165.78 167.18 0.00 - 1 4 0.00%
SPY230915C00235000 2022-12-20 2:37PM EST 235.00 153.27 159.34 160.23 0.00 - 6 6 0.00%
SPY230915C00240000 2023-01-04 9:44AM EST 240.00 150.32 165.45 168.16 0.00 - 1 2 51.69%
SPY230915C00245000 2023-01-03 2:13PM EST 245.00 141.75 160.70 163.41 0.00 - 5 1 50.56%
SPY230915C00250000 2022-12-27 11:16AM EST 250.00 140.35 155.96 158.66 0.00 - 5 33 52.11%
SPY230915C00255000 2022-12-06 9:33AM EST 255.00 152.37 131.22 133.29 0.00 - 2 16 0.00%
SPY230915C00260000 2023-01-03 2:13PM EST 260.00 127.98 146.51 149.20 0.00 - 5 6 49.72%
SPY230915C00265000 2023-01-23 10:00AM EST 265.00 140.34 141.80 144.48 0.00 - 25 82 48.54%
SPY230915C00270000 2022-10-03 11:49AM EST 270.00 108.73 122.62 124.90 0.00 - 1 2 0.00%
SPY230915C00275000 2022-11-08 3:22PM EST 275.00 120.11 129.93 131.56 0.00 - 4 54 40.15%
SPY230915C00280000 2023-01-17 12:24PM EST 280.00 126.35 127.77 130.41 0.00 - 1 80 45.13%
SPY230915C00285000 2022-12-28 1:38PM EST 285.00 105.25 123.12 125.75 0.00 - 2 82 44.03%
SPY230915C00290000 2022-12-13 3:36PM EST 290.00 123.50 115.54 117.22 0.00 - 5 67 36.92%
SPY230915C00295000 2022-11-11 10:30AM EST 295.00 116.21 109.63 111.45 0.00 - 2 19 34.18%
SPY230915C00300000 2023-01-23 12:45PM EST 300.00 110.99 109.32 111.90 0.00 - 6 155 40.85%
SPY230915C00305000 2023-01-03 10:37AM EST 305.00 90.22 104.77 107.33 0.00 - 13 101 39.82%
SPY230915C00310000 2023-01-04 9:50AM EST 310.00 87.10 100.26 102.80 0.00 - 2 812 38.83%
SPY230915C00315000 2023-01-23 9:30AM EST 315.00 92.72 95.78 98.29 0.00 - 1 52 37.85%
SPY230915C00320000 2023-01-06 2:12PM EST 320.00 82.06 91.35 93.83 0.00 - 3 149 36.90%
SPY230915C00325000 2023-01-23 1:28PM EST 325.00 89.20 86.95 89.41 0.00 - 2 95 35.97%
SPY230915C00330000 2023-01-12 3:09PM EST 330.00 80.80 82.61 85.03 0.00 - 5 108 35.06%
SPY230915C00335000 2023-01-20 9:53AM EST 335.00 70.20 78.31 80.70 0.00 - 1 89 34.17%
SPY230915C00340000 2023-01-23 1:01PM EST 340.00 76.30 74.07 76.43 0.00 - 30 100 33.31%
SPY230915C00345000 2023-01-24 11:07AM EST 345.00 71.41 69.89 72.21 -0.70 -0.97% 1 77 32.46%
SPY230915C00350000 2023-01-23 1:31PM EST 350.00 68.05 65.78 68.05 0.00 - 11 1,640 31.63%
SPY230915C00355000 2023-01-24 3:56PM EST 355.00 62.52 61.73 63.96 -1.42 -2.22% 24 628 30.82%
SPY230915C00360000 2023-01-13 3:35PM EST 360.00 58.25 57.75 59.94 0.00 - 1 162 30.03%
SPY230915C00365000 2023-01-20 3:48PM EST 365.00 50.91 53.84 55.98 0.00 - 4 1,134 29.24%
SPY230915C00370000 2023-01-23 1:45PM EST 370.00 52.65 50.01 52.11 0.00 - 12 361 28.48%
SPY230915C00375000 2023-01-20 3:48PM EST 375.00 43.62 46.26 48.31 0.00 - 4 351 27.71%
SPY230915C00380000 2023-01-24 4:12PM EST 380.00 43.96 42.59 44.59 +0.97 +2.26% 1 831 26.95%
SPY230915C00385000 2023-01-24 11:07AM EST 385.00 39.90 39.02 40.96 -1.50 -3.62% 5 2,885 26.20%
SPY230915C00390000 2023-01-23 3:12PM EST 390.00 36.29 35.54 37.42 0.00 - 30 5,616 25.44%
SPY230915C00395000 2023-01-24 2:24PM EST 395.00 33.20 32.16 33.99 -0.85 -2.50% 3 3,381 24.69%
SPY230915C00400000 2023-01-24 11:10AM EST 400.00 29.79 28.89 30.66 -0.35 -1.16% 46 6,269 23.94%
SPY230915C00405000 2023-01-24 11:44AM EST 405.00 26.50 25.75 27.46 -0.09 -0.34% 6 2,523 23.20%
SPY230915C00410000 2023-01-24 3:24PM EST 410.00 23.30 22.75 24.39 -0.27 -1.15% 100 5,283 22.46%
SPY230915C00415000 2023-01-24 3:23PM EST 415.00 20.50 19.90 21.47 -1.15 -5.31% 3 1,460 21.72%
SPY230915C00420000 2023-01-24 3:02PM EST 420.00 17.94 17.22 18.71 -0.46 -2.50% 10 4,947 21.00%
SPY230915C00425000 2023-01-24 1:11PM EST 425.00 15.20 14.73 16.14 -0.65 -4.10% 4 3,569 20.30%
SPY230915C00430000 2023-01-24 3:44PM EST 430.00 12.38 12.44 13.78 -0.96 -7.20% 124 3,738 19.64%
SPY230915C00435000 2023-01-24 3:00PM EST 435.00 10.94 10.37 11.63 -0.32 -2.84% 35 1,061 19.00%
SPY230915C00440000 2023-01-24 2:07PM EST 440.00 9.02 8.53 9.70 -0.14 -1.53% 9 4,233 18.40%
SPY230915C00445000 2023-01-24 1:11PM EST 445.00 7.35 6.92 8.01 -0.15 -2.00% 2 1,102 17.85%
SPY230915C00450000 2023-01-24 3:47PM EST 450.00 5.70 6.00 6.55 -0.40 -6.56% 60 1,814 17.35%
SPY230915C00455000 2023-01-24 11:29AM EST 455.00 4.97 4.38 5.31 +0.12 +2.47% 3 1,475 16.91%
SPY230915C00460000 2023-01-24 2:26PM EST 460.00 3.75 3.43 4.29 -0.13 -3.35% 3 2,048 16.55%
SPY230915C00465000 2023-01-24 11:04AM EST 465.00 3.00 2.66 3.22 +0.30 +11.11% 3 539 15.91%
SPY230915C00470000 2023-01-24 12:18PM EST 470.00 2.30 2.25 2.78 -0.21 -8.37% 19 933 16.00%
SPY230915C00475000 2023-01-24 10:08AM EST 475.00 1.75 1.57 2.00 -0.23 -11.62% 26 1,889 15.37%
SPY230915C00480000 2023-01-24 12:28PM EST 480.00 1.54 1.20 1.83 -0.02 -1.28% 10 1,432 15.72%
SPY230915C00485000 2023-01-24 3:39PM EST 485.00 1.13 0.91 1.51 -0.12 -9.60% 2 411 15.68%
SPY230915C00490000 2023-01-23 2:59PM EST 490.00 1.05 0.69 1.25 0.00 - 5 1,234 15.67%
SPY230915C00495000 2023-01-24 11:50AM EST 495.00 0.79 0.52 1.06 -0.01 -1.25% 15 411 15.74%
SPY230915C00500000 2023-01-24 2:30PM EST 500.00 0.65 0.60 0.90 -0.02 -2.99% 5 4,135 15.82%
SPY230915C00505000 2023-01-24 10:36AM EST 505.00 0.52 0.29 0.78 -0.02 -3.70% 1 768 15.96%
SPY230915C00510000 2023-01-23 1:54PM EST 510.00 0.45 0.21 0.45 0.00 - 1 543 15.06%
SPY230915C00515000 2023-01-23 11:08AM EST 515.00 0.45 0.15 0.61 0.00 - 1 736 16.33%
SPY230915C00520000 2023-01-23 2:27PM EST 520.00 0.33 0.10 0.55 0.00 - 121 1,108 16.57%
SPY230915C00525000 2023-01-23 1:08PM EST 525.00 0.32 0.08 0.47 0.00 - 4 492 16.65%
SPY230915C00530000 2023-01-24 10:20AM EST 530.00 0.23 0.03 0.43 -0.05 -17.86% 1 577 16.90%
SPY230915C00535000 2023-01-20 10:51AM EST 535.00 0.18 0.00 0.42 0.00 - 1 546 17.31%
SPY230915C00540000 2023-01-23 1:54PM EST 540.00 0.19 0.00 0.39 0.00 - 1 492 17.58%
SPY230915C00545000 2023-01-20 9:58AM EST 545.00 0.10 0.02 0.35 0.00 - 1 374 17.75%
SPY230915C00550000 2023-01-23 3:45PM EST 550.00 0.14 0.10 0.33 0.00 - 2 928 18.04%
SPY230915C00555000 2023-01-24 12:57PM EST 555.00 0.13 0.02 0.31 -0.08 -38.10% 1 306 18.31%
SPY230915C00560000 2023-01-12 4:10PM EST 560.00 0.17 0.02 0.30 0.00 - 9 1,737 18.65%
SPY230915C00565000 2023-01-23 3:46PM EST 565.00 0.11 0.02 0.25 0.00 - 13 1,048 18.63%
SPY230915C00570000 2023-01-24 1:40PM EST 570.00 0.09 0.08 0.28 0.00 - 67 2,118 19.31%
SPY230915C00575000 2023-01-24 1:55PM EST 575.00 0.08 0.02 0.27 +0.01 +14.29% 1 326 19.62%
SPY230915C00580000 2023-01-23 3:34PM EST 580.00 0.06 0.02 0.26 0.00 - 4 92 19.92%
SPY230915C00585000 2023-01-09 11:49AM EST 585.00 0.14 0.02 0.25 0.00 - 33 56 20.22%
SPY230915C00590000 2023-01-23 9:30AM EST 590.00 0.06 0.00 0.27 0.00 - 1 374 20.80%
SPY230915C00595000 2023-01-17 9:45AM EST 595.00 0.04 0.00 0.26 0.00 - 1 52 21.08%
