400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforFebruary 10, 2023
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY230210C00300000 2023-01-09 10:54AM EST 300.00 94.43 101.15 102.24 0.00 - - 1 84.03%
SPY230210C00310000 2023-01-19 12:36PM EST 310.00 79.25 91.18 92.30 0.00 - 2 2 76.64%
SPY230210C00320000 2023-01-18 11:50AM EST 320.00 75.80 81.20 82.31 0.00 - 1 2 69.02%
SPY230210C00330000 2023-01-06 9:50AM EST 330.00 51.99 71.26 72.36 0.00 - 17 18 61.87%
SPY230210C00335000 2023-01-23 11:13AM EST 335.00 67.37 66.26 67.38 0.00 - 1 3 58.13%
SPY230210C00340000 2023-01-23 11:57AM EST 340.00 62.33 61.29 62.40 0.00 - 19 29 54.54%
SPY230210C00344000 2023-01-12 10:12AM EST 344.00 53.65 57.35 58.43 0.00 - 5 7 51.86%
SPY230210C00345000 2023-01-20 1:41PM EST 345.00 48.90 56.39 57.44 0.00 - 10 5 51.29%
SPY230210C00346000 2023-01-24 9:57AM EST 346.00 53.86 55.34 56.44 +4.57 +9.27% 5 5 50.33%
SPY230210C00348000 2023-01-24 9:57AM EST 348.00 52.16 53.38 54.47 -1.84 -3.41% 5 16 52.88%
SPY230210C00350000 2023-01-23 10:31AM EST 350.00 50.54 51.39 52.50 0.00 - 1 91 51.47%
SPY230210C00355000 2023-01-23 9:31AM EST 355.00 42.34 46.45 47.53 0.00 - 1 4 47.63%
SPY230210C00360000 2023-01-24 10:40AM EST 360.00 39.86 41.52 42.60 +0.72 +1.84% 6 25 43.99%
SPY230210C00361000 2023-01-20 10:06AM EST 361.00 30.96 40.54 41.62 0.00 - 2 1 43.29%
SPY230210C00363000 2023-01-13 9:56AM EST 363.00 33.77 38.58 39.67 0.00 - - 0 41.93%
SPY230210C00364000 2023-01-12 9:33AM EST 364.00 33.54 37.61 38.68 0.00 - - 2 41.16%
SPY230210C00365000 2023-01-23 10:58AM EST 365.00 36.25 36.63 37.72 0.00 - 1 11 40.54%
SPY230210C00366000 2023-01-11 3:43PM EST 366.00 31.16 35.66 36.73 0.00 - 1 1 39.77%
SPY230210C00367000 2023-01-17 10:39AM EST 367.00 33.79 34.69 35.77 0.00 - 4 1 39.14%
SPY230210C00368000 2023-01-20 3:01PM EST 368.00 28.30 33.73 34.79 0.00 - 1 5 38.40%
SPY230210C00370000 2023-01-23 11:04AM EST 370.00 32.00 31.80 32.87 0.00 - 7 39 37.12%
SPY230210C00371000 2023-01-12 3:56PM EST 371.00 28.27 30.85 31.91 0.00 - - 4 36.46%
SPY230210C00372000 2023-01-18 12:02PM EST 372.00 25.20 29.90 30.95 0.00 - 2 107 35.79%
SPY230210C00373000 2023-01-19 2:50PM EST 373.00 20.40 28.95 30.00 0.00 - 2 119 35.17%
SPY230210C00374000 2023-01-20 9:46AM EST 374.00 18.39 28.01 29.05 0.00 - 1 37 34.53%
SPY230210C00375000 2023-01-24 10:56AM EST 375.00 27.16 27.07 28.11 +2.16 +8.64% 1 75 33.92%
SPY230210C00376000 2023-01-23 11:23AM EST 376.00 27.50 26.14 27.16 0.00 - 13 248 33.26%
SPY230210C00377000 2023-01-23 10:18AM EST 377.00 23.27 25.21 26.23 -0.51 -2.14% 2 334 32.68%
SPY230210C00378000 2023-01-24 10:04AM EST 378.00 22.70 24.29 25.30 +2.50 +12.38% 1 601 32.08%
SPY230210C00379000 2023-01-20 3:09PM EST 379.00 18.89 23.38 24.38 0.00 - 3 602 31.50%
SPY230210C00380000 2023-01-24 10:06AM EST 380.00 20.30 22.47 23.46 -2.58 -11.28% 2 1,007 30.91%
SPY230210C00381000 2023-01-23 3:56PM EST 381.00 22.15 21.58 22.55 0.00 - 1 684 30.35%
SPY230210C00382000 2023-01-24 2:31PM EST 382.00 20.65 20.69 21.65 -0.64 -3.01% 1 325 29.80%
SPY230210C00383000 2023-01-23 3:57PM EST 383.00 20.12 19.81 20.76 0.00 - 3 368 29.27%
SPY230210C00384000 2023-01-24 1:48PM EST 384.00 19.41 18.95 19.88 -0.02 -0.10% 1 840 28.75%
SPY230210C00385000 2023-01-24 11:18AM EST 385.00 17.66 18.09 19.01 -0.77 -4.18% 25 1,053 28.25%
SPY230210C00386000 2023-01-24 1:48PM EST 386.00 17.68 17.24 18.14 +0.07 +0.40% 2 928 27.72%
SPY230210C00387000 2023-01-23 3:58PM EST 387.00 16.77 16.41 17.29 0.00 - 68 1,355 27.23%
SPY230210C00388000 2023-01-23 3:58PM EST 388.00 15.99 15.59 16.45 0.00 - 14 751 26.75%
SPY230210C00389000 2023-01-24 2:01PM EST 389.00 14.91 14.79 15.63 -0.26 -1.71% 5 802 26.30%
SPY230210C00390000 2023-01-24 3:46PM EST 390.00 13.25 14.02 14.80 -1.10 -7.67% 624 4,015 25.79%
SPY230210C00391000 2023-01-24 3:03PM EST 391.00 13.58 13.24 14.00 0.00 - 82 1,147 25.34%
SPY230210C00392000 2023-01-24 3:44PM EST 392.00 11.71 12.49 13.22 -1.11 -8.66% 257 1,582 24.92%
SPY230210C00393000 2023-01-24 4:02PM EST 393.00 12.59 11.74 12.46 +0.39 +3.20% 232 2,028 24.52%
SPY230210C00394000 2023-01-24 2:47PM EST 394.00 11.17 11.00 11.72 +0.08 +0.72% 277 3,324 24.13%
SPY230210C00395000 2023-01-24 3:46PM EST 395.00 9.66 10.30 10.99 -0.78 -7.47% 866 3,907 23.74%
SPY230210C00396000 2023-01-24 4:01PM EST 396.00 10.30 9.82 10.30 +0.49 +4.99% 1,015 1,950 23.41%
SPY230210C00397000 2023-01-24 4:06PM EST 397.00 9.48 9.26 9.34 +0.39 +4.29% 836 1,976 22.24%
SPY230210C00398000 2023-01-24 4:12PM EST 398.00 8.73 8.61 8.69 +0.21 +2.46% 1,050 3,059 21.94%
SPY230210C00399000 2023-01-24 4:02PM EST 399.00 8.38 7.99 8.06 +0.23 +2.82% 2,778 3,165 21.64%
SPY230210C00400000 2023-01-24 4:12PM EST 400.00 7.51 7.39 7.44 +0.21 +2.88% 3,503 5,681 21.31%
SPY230210C00401000 2023-01-24 4:03PM EST 401.00 7.09 6.81 6.87 +0.37 +5.51% 2,052 2,441 21.06%
SPY230210C00402000 2023-01-24 4:14PM EST 402.00 6.26 6.26 6.32 +0.06 +0.97% 800 12,253 20.80%
SPY230210C00403000 2023-01-24 4:14PM EST 403.00 5.73 5.73 5.79 +0.05 +0.88% 1,467 1,453 20.54%
SPY230210C00404000 2023-01-24 4:06PM EST 404.00 5.44 5.23 5.29 +0.33 +6.46% 1,023 2,364 20.29%
SPY230210C00405000 2023-01-24 4:13PM EST 405.00 4.80 4.75 4.81 +0.16 +3.45% 1,570 15,640 20.04%
SPY230210C00406000 2023-01-24 4:01PM EST 406.00 4.54 4.30 4.36 +0.30 +7.08% 801 3,018 19.81%
SPY230210C00407000 2023-01-24 4:03PM EST 407.00 4.09 3.88 3.92 +0.26 +6.79% 1,134 1,846 19.53%
SPY230210C00408000 2023-01-24 4:14PM EST 408.00 3.46 3.48 3.52 -0.05 -1.42% 880 5,468 19.29%
SPY230210C00410000 2023-01-24 4:13PM EST 410.00 2.79 2.77 2.82 -0.01 -0.36% 2,482 48,752 18.90%
SPY230210C00412000 2023-01-24 4:10PM EST 412.00 2.32 2.16 2.21 +0.12 +5.45% 1,652 1,737 18.50%
SPY230210C00414000 2023-01-24 4:02PM EST 414.00 1.83 1.66 1.69 +0.05 +2.81% 340 1,292 18.09%
SPY230210C00415000 2023-01-24 4:13PM EST 415.00 1.45 1.44 1.48 -0.10 -6.45% 677 10,978 17.95%
SPY230210C00416000 2023-01-24 4:08PM EST 416.00 1.33 1.25 1.28 +0.11 +9.02% 1,866 1,352 17.77%
SPY230210C00418000 2023-01-24 4:03PM EST 418.00 1.02 0.93 0.94 +0.03 +3.03% 103 1,026 17.42%
SPY230210C00420000 2023-01-24 4:14PM EST 420.00 0.69 0.68 0.70 -0.04 -5.48% 2,937 3,516 17.26%
SPY230210C00422000 2023-01-24 4:11PM EST 422.00 0.53 0.49 0.52 -0.02 -3.64% 408 1,807 17.16%
SPY230210C00424000 2023-01-24 3:51PM EST 424.00 0.33 0.36 0.38 -0.08 -19.51% 76 669 17.07%
SPY230210C00425000 2023-01-24 3:51PM EST 425.00 0.29 0.30 0.32 -0.05 -14.71% 126 874 16.99%
SPY230210C00426000 2023-01-24 1:59PM EST 426.00 0.27 0.26 0.27 -0.13 -32.50% 59 614 16.94%
SPY230210C00428000 2023-01-24 1:59PM EST 428.00 0.21 0.19 0.20 -0.01 -4.55% 11 265 16.99%
SPY230210C00430000 2023-01-24 3:45PM EST 430.00 0.13 0.14 0.15 -0.04 -23.53% 84 637 17.09%
SPY230210C00432000 2023-01-24 2:41PM EST 432.00 0.11 0.11 0.12 -0.03 -21.43% 22 403 17.38%
SPY230210C00434000 2023-01-24 10:25AM EST 434.00 0.09 0.08 0.09 -0.02 -18.18% 5 284 17.53%
SPY230210C00435000 2023-01-24 1:50PM EST 435.00 0.08 0.07 0.08 -0.01 -11.11% 8 627 17.63%
SPY230210C00436000 2023-01-23 3:21PM EST 436.00 0.08 0.06 0.08 0.00 - 20 203 18.07%
SPY230210C00438000 2023-01-24 11:33AM EST 438.00 0.06 0.05 0.06 -0.03 -33.33% 23 40 18.16%
SPY230210C00440000 2023-01-24 3:41PM EST 440.00 0.04 0.04 0.05 -0.02 -33.33% 39 678 18.56%
SPY230210C00445000 2023-01-24 2:14PM EST 445.00 0.03 0.02 0.03 -0.01 -25.00% 86 759 19.34%
SPY230210C00450000 2023-01-24 2:53PM EST 450.00 0.02 0.01 0.02 0.00 - 4 278 20.12%
SPY230210C00455000 2023-01-23 2:00PM EST 455.00 0.02 0.01 0.02 0.00 - 152 510 21.88%
SPY230210C00460000 2023-01-20 11:17AM EST 460.00 0.01 0.01 0.02 0.00 - 1 445 23.44%
SPY230210C00465000 2023-01-24 2:47PM EST 465.00 0.01 0.00 0.01 -0.01 -50.00% 17 104 23.44%
SPY230210C00470000 2023-01-23 1:23PM EST 470.00 0.01 0.00 0.01 0.00 - 1 492 25.00%
SPY230210C00475000 2023-01-11 9:35AM EST 475.00 0.02 0.00 0.01 0.00 - - 750 26.56%
SPY230210C00480000 2023-01-12 9:39AM EST 480.00 0.02 0.00 0.01 0.00 - - 202 28.13%
SPY230210C00485000 2023-01-17 10:42AM EST 485.00 0.01 0.00 0.01 0.00 - 200 537 29.69%
SPY230210C00500000 2023-01-24 10:51AM EST 500.00 0.01 0.00 0.01 0.00 - 4 1 33.59%
PutsforFebruary 10, 2023
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY230210P00275000 2023-01-23 9:38AM EST 275.00 0.02 0.00 0.02 0.00 - 200 791 55.47%
SPY230210P00280000 2023-01-24 4:01PM EST 280.00 0.02 0.02 0.03 0.00 - 201 897 57.81%
SPY230210P00285000 2023-01-24 4:03PM EST 285.00 0.02 0.02 0.03 0.00 - 1,500 142 55.08%
SPY230210P00290000 2023-01-20 2:57PM EST 290.00 0.04 0.02 0.03 0.00 - 20 94 52.34%
SPY230210P00295000 2023-01-23 12:48PM EST 295.00 0.03 0.02 0.03 0.00 - 2 306 50.00%
