400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforJanuary 26, 2023
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY230126C00411000 2023-01-24 4:14PM EST 411.00 0.10 0.09 0.10 -0.05 -33.33% 1,429 870 20.56%
SPY230126C00412000 2023-01-24 4:14PM EST 412.00 0.07 0.06 0.07 -0.03 -30.00% 2,294 516 20.70%
SPY230126C00413000 2023-01-24 3:50PM EST 413.00 0.03 0.04 0.05 -0.05 -62.50% 626 484 21.00%
SPY230126C00414000 2023-01-24 3:36PM EST 414.00 0.03 0.03 0.04 -0.02 -40.00% 1,287 730 21.68%
SPY230126C00415000 2023-01-24 4:07PM EST 415.00 0.02 0.02 0.03 -0.01 -33.33% 873 416 22.07%
SPY230126C00416000 2023-01-24 4:11PM EST 416.00 0.02 0.01 0.02 0.00 - 209 374 22.07%
SPY230126C00417000 2023-01-24 4:03PM EST 417.00 0.02 0.00 0.00 0.00 - 60 73 12.50%
SPY230126C00418000 2023-01-24 3:51PM EST 418.00 0.01 0.00 0.00 -0.01 -50.00% 30 738 12.50%
SPY230126C00419000 2023-01-24 4:06PM EST 419.00 0.01 0.00 0.01 -0.02 -66.67% 108 38 23.83%
SPY230126C00420000 2023-01-24 3:40PM EST 420.00 0.01 0.00 0.01 -0.01 -50.00% 25 799 25.00%
SPY230126C00421000 2023-01-24 11:30AM EST 421.00 0.01 0.00 0.01 0.00 - 3 82 25.78%
SPY230126C00422000 2023-01-23 11:25AM EST 422.00 0.02 0.00 0.01 0.00 - 25 229 26.95%
SPY230126C00423000 2023-01-23 1:59PM EST 423.00 0.01 0.00 0.01 0.00 - 58 108 28.13%
SPY230126C00424000 2023-01-18 12:21PM EST 424.00 0.02 0.00 0.01 0.00 - 21 31 28.91%
SPY230126C00425000 2023-01-23 12:00PM EST 425.00 0.01 0.00 0.01 0.00 - 50 53 30.08%
SPY230126C00428000 2023-01-23 2:28PM EST 428.00 0.01 0.00 0.01 0.00 - 1 2 33.59%
