400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforApril 21, 2023
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY230421C00398000 2023-01-24 4:01PM EST 398.00 17.60 17.37 17.57 +0.76 +4.51% 544 158 21.16%
SPY230421C00399000 2023-01-24 4:11PM EST 399.00 17.05 16.73 16.94 -0.01 -0.06% 1,390 37 20.99%
SPY230421C00400000 2023-01-24 4:01PM EST 400.00 16.45 16.10 16.31 -0.04 -0.24% 2,762 17,338 20.80%
SPY230421C00401000 2023-01-24 4:10PM EST 401.00 15.88 15.46 15.68 +0.68 +4.47% 661 65 20.61%
SPY230421C00402000 2023-01-24 4:01PM EST 402.00 14.91 14.87 15.08 +0.25 +1.71% 819 109 20.44%
SPY230421C00403000 2023-01-24 3:29PM EST 403.00 14.11 14.27 14.48 +0.03 +0.21% 344 44 20.26%
SPY230421C00404000 2023-01-24 4:06PM EST 404.00 13.85 13.68 13.89 +0.30 +2.21% 207 771 20.07%
SPY230421C00405000 2023-01-24 4:01PM EST 405.00 13.42 13.11 13.32 +0.03 +0.22% 976 21,526 19.90%
SPY230421C00406000 2023-01-24 2:43PM EST 406.00 12.35 12.55 12.76 +0.11 +0.90% 106 166 19.73%
SPY230421C00407000 2023-01-24 4:09PM EST 407.00 12.27 12.00 12.21 -1.13 -8.43% 108 11 19.56%
SPY230421C00408000 2023-01-24 4:05PM EST 408.00 11.78 11.47 11.67 +0.22 +1.90% 44 1,080 19.38%
SPY230421C00410000 2023-01-24 4:09PM EST 410.00 10.69 10.44 10.64 -0.13 -1.20% 427 6,289 19.06%
SPY230421C00411000 2023-01-24 3:40PM EST 411.00 9.40 9.94 10.14 -1.02 -9.79% 1 11 18.89%
SPY230421C00412000 2023-01-24 12:44PM EST 412.00 9.18 9.46 9.66 -0.16 -1.71% 68 134 18.74%
