400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforJanuary 31, 2023
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY230131C00335000 2023-01-20 4:08PM EST 335.00 61.01 65.74 66.86 0.00 - 1 1 82.91%
SPY230131C00350000 2023-01-20 10:31AM EST 350.00 41.33 50.76 51.88 0.00 - 8 21 66.55%
SPY230131C00360000 2023-01-24 3:04PM EST 360.00 41.20 40.78 41.86 +0.17 +0.41% 5 6 55.44%
SPY230131C00370000 2023-01-24 9:36AM EST 370.00 28.84 30.81 31.93 -2.57 -8.18% 1 11 50.17%
SPY230131C00371000 2023-01-20 2:11PM EST 371.00 23.21 29.82 30.94 0.00 - 1 1 49.02%
SPY230131C00376000 2023-01-24 2:39PM EST 376.00 25.04 24.85 25.93 +5.02 +25.07% 40 40 42.79%
SPY230131C00377000 2023-01-20 2:29PM EST 377.00 17.74 23.86 24.93 0.00 - 10 - 41.53%
SPY230131C00380000 2023-01-24 2:39PM EST 380.00 21.09 20.90 22.01 +1.13 +5.66% 84 90 38.36%
SPY230131C00382000 2023-01-24 12:45PM EST 382.00 18.31 18.94 20.05 -0.74 -3.88% 1 7 36.07%
SPY230131C00383000 2023-01-24 2:13PM EST 383.00 17.64 17.97 19.04 -1.16 -6.17% 3 61 34.69%
SPY230131C00384000 2023-01-24 3:31PM EST 384.00 16.80 17.01 18.10 -0.20 -1.18% 1 5 33.79%
SPY230131C00385000 2023-01-24 2:48PM EST 385.00 16.34 16.05 17.13 -0.67 -3.94% 168 54 32.65%
SPY230131C00386000 2023-01-24 3:48PM EST 386.00 14.28 15.10 16.17 -1.04 -6.79% 254 212 31.56%
SPY230131C00387000 2023-01-24 1:43PM EST 387.00 14.62 14.16 15.22 +0.07 +0.48% 21 67 30.51%
SPY230131C00388000 2023-01-24 3:41PM EST 388.00 12.29 13.23 14.28 -0.37 -2.92% 25 1,505 29.48%
SPY230131C00389000 2023-01-24 3:41PM EST 389.00 11.46 12.32 13.34 -1.19 -9.41% 53 1,576 28.42%
SPY230131C00390000 2023-01-24 3:01PM EST 390.00 11.81 11.42 12.42 -0.19 -1.58% 161 2,217 27.43%
SPY230131C00391000 2023-01-24 3:52PM EST 391.00 10.31 10.54 11.52 -0.09 -0.87% 54 3,108 26.51%
SPY230131C00392000 2023-01-24 2:52PM EST 392.00 9.71 9.68 10.63 +0.25 +2.64% 130 2,207 25.60%
SPY230131C00393000 2023-01-24 11:39AM EST 393.00 8.64 8.85 9.76 -0.61 -6.59% 94 3,205 24.72%
SPY230131C00394000 2023-01-24 3:08PM EST 394.00 8.24 8.04 8.85 +0.73 +9.72% 19 1,327 23.56%
SPY230131C00395000 2023-01-24 3:59PM EST 395.00 7.20 7.53 8.04 -0.13 -1.77% 324 2,170 22.84%
SPY230131C00396000 2023-01-24 3:55PM EST 396.00 6.45 6.77 7.25 -0.45 -6.52% 605 2,099 22.11%
SPY230131C00397000 2023-01-24 4:11PM EST 397.00 6.44 6.05 6.53 +0.68 +11.81% 4,558 2,333 21.61%
SPY230131C00398000 2023-01-24 4:10PM EST 398.00 5.83 5.15 5.77 +0.34 +6.19% 6,569 2,890 20.80%
SPY230131C00399000 2023-01-24 4:14PM EST 399.00 4.84 4.82 4.87 +0.15 +3.20% 5,748 2,050 19.21%
SPY230131C00400000 2023-01-24 4:14PM EST 400.00 4.19 4.21 4.25 +0.08 +1.95% 11,476 2,683 18.77%
SPY230131C00401000 2023-01-24 4:14PM EST 401.00 3.63 3.65 3.68 +0.04 +1.11% 5,922 2,577 18.38%
SPY230131C00402000 2023-01-24 4:13PM EST 402.00 3.13 3.13 3.16 -0.05 -1.57% 3,648 1,097 18.03%
SPY230131C00403000 2023-01-24 4:12PM EST 403.00 2.75 2.66 2.69 +0.09 +3.38% 2,950 2,242 17.73%
