400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforFebruary 17, 2023
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY230217C00150000 2023-01-23 3:13PM EST 150.00 250.57 250.92 252.03 0.00 - 1 18 199.12%
SPY230217C00160000 2023-01-24 1:14PM EST 160.00 240.71 240.96 242.04 -2.72 -1.12% 1 0 187.65%
SPY230217C00170000 2023-01-13 3:43PM EST 170.00 229.59 230.99 232.10 0.00 - 1 1 177.34%
SPY230217C00180000 2022-12-09 10:26AM EST 180.00 215.69 208.36 209.06 0.00 - 2 0 0.00%
SPY230217C00185000 2022-12-23 12:49PM EST 185.00 197.94 210.91 211.64 0.00 - 2 4 0.00%
SPY230217C00190000 2022-12-14 9:49AM EST 190.00 212.88 208.66 209.38 0.00 - 2 0 0.00%
SPY230217C00195000 2023-01-23 11:08AM EST 195.00 207.07 206.08 207.17 0.00 - 10 5 153.08%
SPY230217C00200000 2023-01-23 11:08AM EST 200.00 202.06 201.09 202.20 0.00 - 10 13 148.63%
SPY230217C00205000 2023-01-17 11:40AM EST 205.00 193.96 196.11 197.20 0.00 - 25 145 144.12%
SPY230217C00210000 2023-01-20 1:49PM EST 210.00 184.01 191.13 192.22 0.00 - 1 138 139.87%
SPY230217C00215000 2023-01-17 11:32AM EST 215.00 183.87 186.15 187.24 0.00 - 15 111 135.69%
SPY230217C00220000 2023-01-17 11:38AM EST 220.00 178.79 181.17 182.25 0.00 - 25 70 131.54%
SPY230217C00225000 2023-01-13 2:49PM EST 225.00 173.60 176.18 177.29 0.00 - 10 58 127.59%
SPY230217C00230000 2023-01-13 2:31PM EST 230.00 168.71 171.20 172.29 0.00 - 10 65 123.51%
SPY230217C00235000 2023-01-17 11:34AM EST 235.00 163.88 166.22 167.31 0.00 - 10 191 119.63%
SPY230217C00240000 2023-01-13 3:03PM EST 240.00 158.87 161.24 162.33 0.00 - 10 60 115.82%
SPY230217C00245000 2023-01-17 10:44AM EST 245.00 154.36 156.26 157.36 0.00 - 5 10 112.13%
SPY230217C00250000 2023-01-19 2:02PM EST 250.00 140.53 151.28 152.37 0.00 - 13 161 108.37%
SPY230217C00255000 2023-01-12 2:02PM EST 255.00 144.55 146.30 147.39 0.00 - 5 31 104.74%
SPY230217C00260000 2023-01-06 3:47PM EST 260.00 130.35 141.31 142.42 0.00 - 7 27 101.15%
SPY230217C00265000 2023-01-18 10:35AM EST 265.00 134.93 136.33 137.42 0.00 - 1 22 97.49%
SPY230217C00270000 2023-01-18 10:35AM EST 270.00 129.96 131.35 132.44 0.00 - 1 24 93.97%
SPY230217C00275000 2023-01-17 2:23PM EST 275.00 123.81 126.37 127.47 0.00 - 2 2,010 90.58%
SPY230217C00280000 2023-01-18 3:32PM EST 280.00 113.46 121.39 122.50 0.00 - 1 59 87.21%
SPY230217C00285000 2022-12-05 10:05AM EST 285.00 119.10 102.18 102.64 0.00 - 4 10 0.00%
SPY230217C00290000 2023-01-23 12:35PM EST 290.00 112.04 111.44 112.54 0.00 - 2 107 80.52%
SPY230217C00295000 2022-12-16 1:51PM EST 295.00 89.86 104.19 104.91 0.00 - 3 2 0.00%
SPY230217C00300000 2023-01-23 1:04PM EST 300.00 102.55 101.48 102.58 0.00 - 1 99 73.89%
SPY230217C00302000 2022-12-30 11:30AM EST 302.00 80.07 99.49 100.59 0.00 - 10 14 72.60%
SPY230217C00303000 2022-12-30 11:06AM EST 303.00 79.63 98.50 99.59 0.00 - 5 5 71.95%
SPY230217C00304000 2022-12-06 3:57PM EST 304.00 91.63 77.07 77.74 0.00 - 2 4 0.00%
SPY230217C00305000 2023-01-24 2:55PM EST 305.00 97.02 96.51 97.60 +5.16 +5.62% 4 253 70.65%
SPY230217C00306000 2022-12-05 12:05PM EST 306.00 96.52 79.27 79.97 0.00 - 2 79 0.00%
SPY230217C00307000 2023-01-06 3:09PM EST 307.00 83.85 94.52 95.63 0.00 - 74 598 69.46%
SPY230217C00308000 2022-12-06 10:30AM EST 308.00 89.75 72.64 73.40 0.00 - 2 267 0.00%
SPY230217C00309000 2023-01-12 1:52PM EST 309.00 90.26 92.53 93.62 0.00 - 50 192 68.09%
SPY230217C00310000 2023-01-20 2:22PM EST 310.00 84.91 91.54 92.63 0.00 - 27 1,041 67.49%
SPY230217C00311000 2022-12-13 12:01PM EST 311.00 93.13 87.13 87.37 0.00 - 1,000 500 0.00%
SPY230217C00312000 2022-12-30 3:31PM EST 312.00 70.92 89.55 90.64 0.00 - 5 42 66.21%
SPY230217C00313000 2022-12-01 10:34AM EST 313.00 94.34 71.97 72.63 0.00 - - 0 0.00%
SPY230217C00314000 2022-12-14 10:17AM EST 314.00 91.91 85.35 86.07 0.00 - - 500 0.00%
SPY230217C00315000 2023-01-23 10:03AM EST 315.00 84.42 86.57 87.66 0.00 - 3 878 64.34%
SPY230217C00316000 2022-12-29 12:52PM EST 316.00 70.13 85.57 86.68 0.00 - 30 501 63.75%
SPY230217C00318000 2022-12-29 1:43PM EST 318.00 68.29 83.59 84.69 0.00 - - 1 62.50%
SPY230217C00319000 2023-01-03 3:41PM EST 319.00 64.02 82.59 83.69 0.00 - 1 306 61.83%
SPY230217C00320000 2023-01-20 11:50AM EST 320.00 73.25 81.60 82.69 0.00 - 37 496 61.19%
SPY230217C00321000 2022-12-27 9:31AM EST 321.00 64.43 80.61 81.71 0.00 - 10 300 60.63%
SPY230217C00323000 2022-12-22 3:04PM EST 323.00 59.08 73.59 74.31 0.00 - - 1 0.00%
SPY230217C00324000 2022-12-21 12:50PM EST 324.00 65.37 72.60 73.32 0.00 - - 1 0.00%
SPY230217C00325000 2023-01-23 11:20AM EST 325.00 78.18 76.63 77.73 0.00 - 1 320 58.09%
SPY230217C00326000 2022-12-30 10:17AM EST 326.00 57.48 75.64 76.74 0.00 - 5 6 57.50%
SPY230217C00327000 2022-12-15 10:49AM EST 327.00 66.19 72.47 73.20 0.00 - - 1 0.00%
SPY230217C00328000 2023-01-17 3:26PM EST 328.00 71.66 73.66 74.75 0.00 - 30 35 56.26%
SPY230217C00329000 2022-12-30 2:31PM EST 329.00 53.33 72.66 73.76 0.00 - 5 6 55.63%
SPY230217C00330000 2023-01-24 10:29AM EST 330.00 70.35 71.67 72.77 -0.87 -1.22% 1 923 55.03%
SPY230217C00331000 2023-01-11 1:08PM EST 331.00 64.57 70.68 71.78 0.00 - 1 6 54.42%
SPY230217C00332000 2022-12-30 11:29AM EST 332.00 51.07 69.69 70.79 0.00 - 5 9 53.82%
SPY230217C00333000 2023-01-13 3:58PM EST 333.00 67.17 68.70 69.79 0.00 - 1 12 53.19%
SPY230217C00334000 2022-12-30 11:31AM EST 334.00 49.25 67.71 68.80 0.00 - 5 57 52.59%
SPY230217C00335000 2023-01-23 1:34PM EST 335.00 68.10 66.72 67.81 0.00 - 5 418 51.99%
SPY230217C00336000 2023-01-09 9:49AM EST 336.00 57.36 65.73 66.83 0.00 - 12 297 51.42%
SPY230217C00337000 2022-12-30 11:45AM EST 337.00 46.83 64.74 65.84 0.00 - 6 102 50.81%
SPY230217C00338000 2023-01-17 9:44AM EST 338.00 62.14 63.75 64.84 0.00 - 5 290 50.17%
SPY230217C00339000 2022-12-30 10:49AM EST 339.00 45.91 62.76 63.85 0.00 - 5 24 52.80%
SPY230217C00340000 2023-01-23 2:18PM EST 340.00 62.58 61.77 62.86 0.00 - 10 278 52.16%
SPY230217C00341000 2023-01-17 9:54AM EST 341.00 59.78 60.78 61.88 0.00 - 5 136 51.58%
SPY230217C00342000 2023-01-19 1:23PM EST 342.00 49.15 59.79 60.88 0.00 - 8 29 50.88%
SPY230217C00343000 2022-12-16 12:29PM EST 343.00 44.96 56.72 57.46 0.00 - 1 135 30.37%
SPY230217C00344000 2023-01-11 3:54PM EST 344.00 53.13 57.82 58.91 0.00 - 2 226 49.65%
SPY230217C00345000 2023-01-23 12:53PM EST 345.00 57.76 56.83 57.93 0.00 - 13 264 49.05%
SPY230217C00346000 2023-01-19 10:56AM EST 346.00 43.51 55.85 56.94 0.00 - 6 24 48.41%
SPY230217C00347000 2023-01-09 12:11PM EST 347.00 48.67 54.86 55.95 0.00 - 4 55 47.76%
SPY230217C00348000 2022-12-15 3:23PM EST 348.00 45.93 51.83 52.56 0.00 - 7 99 29.52%
SPY230217C00349000 2023-01-23 11:36AM EST 349.00 53.14 52.90 53.99 0.00 - 1 302 46.57%
SPY230217C00350000 2023-01-24 3:19PM EST 350.00 51.91 51.91 53.00 +0.09 +0.17% 2 544 45.91%
SPY230217C00351000 2023-01-24 12:08PM EST 351.00 50.62 50.93 52.02 +11.83 +30.50% 2 120 45.31%
SPY230217C00352000 2023-01-20 9:39AM EST 352.00 38.99 49.95 51.03 0.00 - 5 56 44.66%
SPY230217C00353000 2023-01-06 10:02AM EST 353.00 33.60 48.97 50.05 0.00 - 1 63 44.06%
SPY230217C00354000 2023-01-20 12:49PM EST 354.00 39.90 47.99 49.07 0.00 - 44 111 43.45%
SPY230217C00355000 2023-01-24 3:20PM EST 355.00 47.07 47.01 48.09 +0.56 +1.20% 1 226 42.84%
SPY230217C00356000 2023-01-24 4:01PM EST 356.00 47.19 46.04 47.12 +11.95 +33.91% 2 253 42.26%
SPY230217C00357000 2023-01-24 3:47PM EST 357.00 44.09 45.07 46.14 -1.50 -3.29% 9 70 41.65%
SPY230217C00358000 2023-01-20 3:48PM EST 358.00 39.13 44.09 45.17 0.00 - 7 175 41.08%
SPY230217C00359000 2023-01-24 12:34PM EST 359.00 42.87 43.13 44.20 +4.40 +11.44% 45 253 40.50%
SPY230217C00360000 2023-01-24 3:43PM EST 360.00 41.22 42.16 43.23 -1.22 -2.87% 160 677 39.92%
SPY230217C00361000 2023-01-20 1:33PM EST 361.00 33.41 41.19 42.26 0.00 - 2 156 39.33%
SPY230217C00362000 2023-01-23 2:52PM EST 362.00 39.00 40.23 41.29 0.00 - 1 435 38.73%
SPY230217C00363000 2023-01-20 3:47PM EST 363.00 34.35 39.27 40.33 0.00 - 9 1,545 38.18%
SPY230217C00364000 2023-01-23 12:20PM EST 364.00 38.75 38.31 39.37 0.00 - 3 172 37.62%
SPY230217C00365000 2023-01-24 3:29PM EST 365.00 37.42 37.36 38.41 +0.32 +0.86% 1 897 37.06%
SPY230217C00366000 2023-01-24 9:52AM EST 366.00 35.61 36.41 37.45 +9.60 +36.91% 1 289 36.49%
SPY230217C00367000 2023-01-20 9:54AM EST 367.00 26.20 35.46 36.50 0.00 - 2 309 35.96%
SPY230217C00368000 2023-01-24 3:46PM EST 368.00 33.51 34.51 35.55 -0.73 -2.13% 8 1,155 35.41%
SPY230217C00369000 2023-01-23 1:09PM EST 369.00 34.82 33.57 34.60 0.00 - 5 563 34.86%
SPY230217C00370000 2023-01-24 3:29PM EST 370.00 32.70 32.64 33.66 -0.47 -1.42% 24 3,301 34.35%
SPY230217C00371000 2023-01-24 11:30AM EST 371.00 31.81 31.70 32.72 +9.77 +44.33% 1 1,182 33.81%
SPY230217C00372000 2023-01-23 3:46PM EST 372.00 30.51 30.78 31.79 0.00 - 1 1,264 33.31%
SPY230217C00373000 2023-01-24 2:29PM EST 373.00 29.73 29.85 30.85 -0.60 -1.98% 2 1,058 32.77%
SPY230217C00374000 2023-01-24 3:45PM EST 374.00 27.96 28.93 29.93 +0.89 +3.29% 15 755 32.28%
SPY230217C00375000 2023-01-24 2:58PM EST 375.00 28.29 28.02 29.01 +0.84 +3.06% 122 4,116 31.79%
SPY230217C00376000 2023-01-24 4:01PM EST 376.00 28.14 27.12 28.10 +1.02 +3.76% 3 3,988 31.31%
SPY230217C00377000 2023-01-24 12:28PM EST 377.00 26.16 26.22 27.19 -1.18 -4.32% 13 2,874 30.83%
SPY230217C00378000 2023-01-24 2:23PM EST 378.00 25.13 25.32 26.28 -0.68 -2.63% 15 4,868 30.33%
SPY230217C00379000 2023-01-24 3:50PM EST 379.00 24.53 24.44 25.38 +0.37 +1.53% 24 9,917 29.85%
SPY230217C00380000 2023-01-24 4:01PM EST 380.00 24.62 23.56 24.49 +0.96 +4.06% 137 14,329 29.39%
SPY230217C00381000 2023-01-24 2:25PM EST 381.00 22.45 22.69 23.61 -0.25 -1.10% 17 8,186 28.94%
SPY230217C00382000 2023-01-24 3:08PM EST 382.00 22.02 21.83 22.74 +0.96 +4.56% 4 8,482 28.51%
SPY230217C00383000 2023-01-24 11:12AM EST 383.00 20.93 20.98 21.87 -0.57 -2.65% 6 5,045 28.06%
SPY230217C00384000 2023-01-24 4:01PM EST 384.00 21.00 20.13 21.01 +1.03 +5.16% 3 10,314 27.62%
SPY230217C00385000 2023-01-24 3:55PM EST 385.00 19.23 19.30 20.16 -0.61 -3.07% 44 13,886 27.19%
SPY230217C00386000 2023-01-24 3:52PM EST 386.00 18.16 18.48 19.33 -1.56 -7.91% 15 8,605 26.80%
SPY230217C00387000 2023-01-24 3:25PM EST 387.00 17.63 17.66 18.50 +0.08 +0.46% 37 5,170 26.38%
SPY230217C00388000 2023-01-24 3:52PM EST 388.00 16.70 16.86 17.68 -0.32 -1.88% 34 7,376 25.97%
SPY230217C00389000 2023-01-24 3:24PM EST 389.00 16.08 16.07 16.87 -0.13 -0.80% 72 7,906 25.56%
SPY230217C00390000 2023-01-24 4:01PM EST 390.00 15.75 15.30 16.02 +0.27 +1.74% 846 16,498 25.02%
SPY230217C00391000 2023-01-24 3:35PM EST 391.00 14.10 14.54 15.30 -0.86 -5.75% 134 5,507 24.80%
SPY230217C00392000 2023-01-24 3:44PM EST 392.00 13.05 13.82 14.54 -0.79 -5.71% 315 5,526 24.45%
SPY230217C00393000 2023-01-24 4:01PM EST 393.00 13.30 13.06 13.79 -0.20 -1.48% 203 10,900 24.09%
SPY230217C00394000 2023-01-24 4:01PM EST 394.00 12.97 12.35 13.06 +0.22 +1.73% 177 6,669 23.74%
SPY230217C00395000 2023-01-24 4:05PM EST 395.00 12.08 11.65 12.34 +0.26 +2.20% 7,262 32,888 23.39%
SPY230217C00396000 2023-01-24 4:03PM EST 396.00 11.63 11.29 11.36 +0.47 +4.21% 3,000 7,792 22.36%
SPY230217C00397000 2023-01-24 4:08PM EST 397.00 10.88 10.62 10.69 +0.34 +3.23% 3,336 10,647 22.07%
SPY230217C00398000 2023-01-24 4:06PM EST 398.00 10.32 9.97 10.03 +0.42 +4.24% 3,471 9,890 21.77%
SPY230217C00399000 2023-01-24 4:10PM EST 399.00 9.68 9.34 9.40 +0.46 +4.99% 5,112 9,335 21.49%
SPY230217C00400000 2023-01-24 4:13PM EST 400.00 8.75 8.73 8.78 +0.07 +0.81% 14,978 53,439 21.20%
SPY230217C00401000 2023-01-24 4:13PM EST 401.00 8.19 8.14 8.19 +0.14 +1.74% 6,931 12,237 20.95%
SPY230217C00402000 2023-01-24 4:09PM EST 402.00 7.81 7.57 7.62 +0.28 +3.72% 7,927 19,211 20.69%
SPY230217C00403000 2023-01-24 4:08PM EST 403.00 7.25 7.02 7.07 +0.21 +2.98% 5,703 10,845 20.44%
