400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforJanuary 19, 2024
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY240119C00180000 2023-01-18 11:43AM EST 180.00 219.00 223.57 227.34 0.00 - 1 118 56.89%
SPY240119C00190000 2023-01-06 2:29PM EST 190.00 203.50 214.18 217.91 0.00 - 3 5 55.01%
SPY240119C00195000 2022-08-02 12:52PM EST 195.00 218.00 200.50 205.00 0.00 - 1 0 0.00%
SPY240119C00200000 2023-01-24 2:47PM EST 200.00 205.99 204.72 208.49 -0.27 -0.13% 2 105 53.03%
SPY240119C00205000 2023-01-17 11:37AM EST 205.00 198.98 200.07 203.79 0.00 - 7 7 52.14%
SPY240119C00210000 2022-11-15 10:09AM EST 210.00 199.63 187.05 191.27 0.00 - 1 7 34.03%
SPY240119C00215000 2022-10-18 11:46AM EST 215.00 165.50 182.00 187.00 0.00 - 1 2 36.21%
SPY240119C00220000 2023-01-11 10:41AM EST 220.00 180.00 186.03 189.74 0.00 - 1 28 52.64%
SPY240119C00225000 2023-01-20 3:00PM EST 225.00 176.50 181.32 185.08 0.00 - 14 10 51.62%
SPY240119C00230000 2023-01-24 1:45PM EST 230.00 178.50 176.66 180.42 -0.50 -0.28% 22 55 50.60%
SPY240119C00235000 2023-01-13 3:32PM EST 235.00 171.57 172.08 175.77 0.00 - 1 50 49.59%
SPY240119C00240000 2023-01-19 3:29PM EST 240.00 158.86 167.45 171.14 0.00 - 1 60 48.62%
SPY240119C00245000 2023-01-23 9:30AM EST 245.00 159.48 162.77 166.52 0.00 - 1 20 47.66%
SPY240119C00250000 2023-01-23 2:45PM EST 250.00 158.51 158.19 161.91 0.00 - 6 78 46.70%
SPY240119C00255000 2023-01-20 3:20PM EST 255.00 151.31 153.63 157.31 0.00 - 1 17 45.76%
SPY240119C00260000 2023-01-09 10:24AM EST 260.00 142.82 149.01 152.73 0.00 - 3 37 44.84%
SPY240119C00265000 2022-12-14 10:47AM EST 265.00 150.81 142.21 146.09 0.00 - 2 36 41.29%
SPY240119C00270000 2023-01-24 3:17PM EST 270.00 141.32 139.97 143.63 +4.82 +3.53% 1 170 43.06%
SPY240119C00275000 2022-12-06 12:15PM EST 275.00 131.00 116.60 120.74 0.00 - 6 26 0.00%
SPY240119C00280000 2023-01-23 11:31AM EST 280.00 134.09 130.95 134.60 0.00 - 1 108 41.32%
SPY240119C00285000 2023-01-10 3:58PM EST 285.00 119.40 126.50 130.13 0.00 - 2 27 40.49%
SPY240119C00290000 2023-01-06 2:47PM EST 290.00 113.20 122.08 125.68 0.00 - 2 137 39.67%
SPY240119C00295000 2023-01-12 10:49AM EST 295.00 115.00 117.64 121.26 0.00 - 1 130 38.86%
SPY240119C00300000 2023-01-24 3:51PM EST 300.00 114.10 113.26 116.88 -0.90 -0.78% 90 405 38.08%
SPY240119C00305000 2023-01-10 2:21PM EST 305.00 104.11 108.91 112.53 0.00 - 110 273 37.31%
SPY240119C00310000 2023-01-23 10:04AM EST 310.00 103.94 104.67 108.21 0.00 - 1 135 36.55%
SPY240119C00315000 2023-01-23 11:28AM EST 315.00 102.73 100.41 103.94 0.00 - 2 76 35.82%
SPY240119C00320000 2023-01-23 2:28PM EST 320.00 97.02 96.19 99.71 -1.27 -1.29% 10 355 35.10%
SPY240119C00325000 2023-01-23 10:47AM EST 325.00 92.75 92.03 95.52 0.00 - 31 697 34.39%
SPY240119C00330000 2023-01-23 3:32PM EST 330.00 88.50 87.91 91.38 0.00 - 4 233 33.70%
SPY240119C00335000 2023-01-24 3:32PM EST 335.00 84.45 83.82 87.30 +3.67 +4.54% 1 53 33.03%
SPY240119C00340000 2023-01-24 10:25AM EST 340.00 79.91 79.81 83.26 -1.83 -2.24% 6 1,267 32.37%
SPY240119C00345000 2023-01-20 11:19AM EST 345.00 70.79 75.85 79.28 0.00 - 1 484 31.72%
SPY240119C00350000 2023-01-24 3:57PM EST 350.00 73.01 71.98 75.00 -1.45 -1.95% 13 697 30.81%
SPY240119C00355000 2023-01-23 2:31PM EST 355.00 70.63 68.12 71.50 0.00 - 14 391 30.46%
SPY240119C00360000 2023-01-24 3:46PM EST 360.00 64.50 64.35 67.69 -0.65 -1.00% 3 904 29.83%
SPY240119C00365000 2023-01-24 1:41PM EST 365.00 62.00 60.65 63.95 +0.90 +1.47% 13 550 29.22%
SPY240119C00370000 2023-01-24 1:31PM EST 370.00 58.03 57.01 60.28 -0.78 -1.33% 8 454 28.62%
SPY240119C00375000 2023-01-23 2:02PM EST 375.00 55.74 53.44 56.68 0.00 - 164 4,514 28.03%
SPY240119C00380000 2023-01-24 1:03PM EST 380.00 50.92 49.94 53.08 -0.38 -0.74% 22 1,475 27.39%
SPY240119C00385000 2023-01-23 2:11PM EST 385.00 48.97 46.51 49.60 0.00 - 21 3,696 26.79%
SPY240119C00390000 2023-01-24 3:45PM EST 390.00 43.85 43.15 46.19 -1.85 -4.05% 23 4,707 26.18%
SPY240119C00395000 2023-01-24 2:26PM EST 395.00 42.04 39.81 42.85 -0.05 -0.12% 3 1,970 25.57%
SPY240119C00400000 2023-01-24 3:57PM EST 400.00 37.40 36.67 39.60 -1.10 -2.86% 85 6,448 24.97%
SPY240119C00405000 2023-01-24 4:09PM EST 405.00 35.41 33.51 36.43 +0.16 +0.45% 67 4,531 24.36%
SPY240119C00410000 2023-01-24 1:49PM EST 410.00 31.89 30.80 33.35 +0.22 +0.69% 14 3,855 23.75%
SPY240119C00415000 2023-01-24 2:10PM EST 415.00 28.70 27.55 30.00 -0.31 -1.07% 172 3,096 22.91%
