400.20
January 25, 2023
January 26, 2023
January 27, 2023
January 30, 2023
January 31, 2023
February 1, 2023
February 2, 2023
February 3, 2023
February 10, 2023
February 17, 2023
February 24, 2023
March 3, 2023
March 17, 2023
March 31, 2023
April 21, 2023
May 19, 2023
June 16, 2023
June 30, 2023
July 21, 2023
September 15, 2023
September 29, 2023
December 15, 2023
December 29, 2023
January 19, 2024
June 21, 2024
December 20, 2024
January 17, 2025
March 21, 2025
December 19, 2025
In The Money
Show:ListStraddle
CallsforJuly 21, 2023
Contract Name Last Trade Date Strike
Last Price Bid Ask Change % Change Volume Open Interest Implied Volatility
SPY230721P00200000 2023-01-23 1:33PM EST 200.00 0.49 0.45 0.49 0.00 - 3 35 45.97%
SPY230721P00205000 2023-01-23 12:11PM EST 205.00 0.53 0.48 0.52 0.00 - 20 25 44.85%
SPY230721P00210000 2023-01-24 2:18PM EST 210.00 0.54 0.52 0.56 -0.07 -11.48% 16 20 43.85%
SPY230721P00220000 2023-01-24 11:56AM EST 220.00 0.66 0.61 0.65 -0.04 -5.71% 3 21 41.92%
SPY230721P00225000 2023-01-24 2:12PM EST 225.00 0.68 0.66 0.71 -0.07 -9.33% 20 2 41.08%
SPY230721P00230000 2023-01-24 10:04AM EST 230.00 0.81 0.71 0.76 +0.01 +1.25% 4 48 40.11%
SPY230721P00235000 2023-01-23 3:16PM EST 235.00 0.86 0.77 0.82 0.00 - 51 52 39.21%
SPY230721P00240000 2023-01-24 2:17PM EST 240.00 0.87 0.83 0.88 -0.17 -16.35% 5 39 38.28%
SPY230721P00245000 2023-01-23 3:17PM EST 245.00 1.00 0.90 0.95 0.00 - 45 72 37.42%
SPY230721P00250000 2023-01-24 12:16PM EST 250.00 1.03 0.97 1.02 -0.04 -3.74% 3 56 36.51%
SPY230721P00255000 2023-01-23 2:12PM EST 255.00 1.14 1.05 1.10 0.00 - 5 6 35.66%
SPY230721P00260000 2023-01-24 9:58AM EST 260.00 1.25 1.13 1.19 +0.02 +1.63% 2 23 34.83%
SPY230721P00265000 2023-01-24 3:49PM EST 265.00 1.30 1.22 1.29 -0.14 -9.72% 1 18 34.02%
SPY230721P00270000 2023-01-24 1:02PM EST 270.00 1.40 1.33 1.40 -0.06 -4.11% 4 129 33.23%
SPY230721P00275000 2023-01-24 11:35AM EST 275.00 1.55 1.44 1.51 +0.03 +1.97% 18 77 32.40%
SPY230721P00280000 2023-01-24 2:01PM EST 280.00 1.62 1.57 1.64 -0.07 -4.14% 53 150 31.62%
SPY230721P00285000 2023-01-23 10:37AM EST 285.00 1.89 1.70 1.79 0.00 - 4 116 30.88%
SPY230721P00290000 2023-01-24 2:38PM EST 290.00 1.90 1.86 1.94 -0.07 -3.55% 2 44 30.10%
SPY230721P00295000 2023-01-24 10:05AM EST 295.00 2.32 2.03 2.12 +0.17 +7.91% 2 337 29.38%
SPY230721P00300000 2023-01-24 3:24PM EST 300.00 2.31 2.22 2.32 -0.14 -5.71% 210 188 28.67%
SPY230721P00305000 2023-01-24 3:40PM EST 305.00 2.57 2.44 2.54 -0.18 -6.55% 5 160 27.96%
SPY230721P00310000 2023-01-24 2:07PM EST 310.00 2.79 2.68 2.79 -0.17 -5.74% 17 285 27.28%
SPY230721P00315000 2023-01-24 1:02PM EST 315.00 3.19 2.95 3.08 -0.05 -1.54% 2 2,287 26.64%
SPY230721P00320000 2023-01-24 2:27PM EST 320.00 3.32 3.25 3.39 -0.18 -5.14% 19 1,924 25.97%
SPY230721P00325000 2023-01-24 2:48PM EST 325.00 3.69 3.60 3.75 -0.30 -7.52% 8 5,058 25.35%
SPY230721P00330000 2023-01-24 11:58AM EST 330.00 4.26 3.99 4.15 -0.09 -2.07% 28 809 24.73%
SPY230721P00335000 2023-01-24 10:14AM EST 335.00 4.95 4.44 4.60 +0.16 +3.34% 4 72 24.12%
SPY230721P00340000 2023-01-24 3:58PM EST 340.00 5.15 4.94 5.11 -0.38 -6.87% 30 2,397 23.53%
SPY230721P00345000 2023-01-23 1:17PM EST 345.00 5.76 5.50 5.69 0.00 - 55 1,674 22.96%
SPY230721P00350000 2023-01-24 3:48PM EST 350.00 6.53 6.13 6.33 -0.17 -2.54% 277 12,443 22.38%
SPY230721P00355000 2023-01-24 4:01PM EST 355.00 6.85 6.85 7.05 -0.50 -6.80% 597 2,670 21.81%
SPY230721P00360000 2023-01-24 4:01PM EST 360.00 7.65 7.64 7.85 -0.52 -6.36% 807 4,325 21.25%
SPY230721P00365000 2023-01-24 3:34PM EST 365.00 8.89 8.52 8.75 -0.42 -4.51% 7 3,521 20.69%
SPY230721P00370000 2023-01-24 3:54PM EST 370.00 9.87 9.50 9.72 -0.42 -4.08% 15 996 20.11%
SPY230721P00375000 2023-01-24 3:29PM EST 375.00 11.04 10.58 10.81 +0.27 +2.51% 82 5,256 19.53%
SPY230721P00380000 2023-01-24 4:01PM EST 380.00 11.86 11.76 11.99 -0.74 -5.87% 84 3,424 18.91%
SPY230721P00385000 2023-01-24 4:01PM EST 385.00 13.35 13.05 13.30 -0.88 -6.18% 410 156 18.30%
SPY230721P00390000 2023-01-24 3:27PM EST 390.00 14.82 14.47 14.73 -0.68 -4.39% 77 1,818 17.65%
SPY230721P00395000 2023-01-24 4:00PM EST 395.00 16.50 16.03 16.29 -0.67 -3.90% 48 830 16.97%
SPY230721P00400000 2023-01-24 3:55PM EST 400.00 18.24 17.75 18.01 -0.37 -1.99% 139 2,580 16.27%
SPY230721P00405000 2023-01-24 3:16PM EST 405.00 20.08 19.65 19.92 -0.56 -2.71% 30 3,185 15.54%
SPY230721P00410000 2023-01-24 2:27PM EST 410.00 22.12 21.75 22.02 -0.79 -3.45% 53 329 14.78%
SPY230721P00415000 2023-01-24 1:47PM EST 415.00 24.22 23.47 24.95 -1.78 -6.85% 7 185 14.55%
SPY230721P00420000 2023-01-24 10:55AM EST 420.00 27.65 26.01 27.59 +0.05 +0.18% 11 12 13.81%
SPY230721P00425000 2023-01-24 12:52PM EST 425.00 30.50 28.83 30.52 -5.74 -15.84% 6 2 13.04%
SPY230721P00430000 2023-01-23 11:07AM EST 430.00 32.25 31.96 33.77 0.00 - 9 12 12.27%
SPY230721P00435000 2023-01-23 11:38AM EST 435.00 37.00 35.40 37.35 0.00 - 2 3 11.46%
SPY230721P00440000 2023-01-13 1:46PM EST 440.00 44.16 39.18 41.27 0.00 - - 1 10.63%
SPY230721P00445000 2023-01-24 12:16PM EST 445.00 45.25 43.28 45.55 -6.20 -12.05% 1 2 9.85%
SPY230721P00450000 2023-01-24 3:35PM EST 450.00 50.05 47.72 50.32 +0.04 +0.08% 77 86 9.90%
SPY230721P00455000 2023-01-18 10:17AM EST 455.00 55.17 52.70 55.33 0.00 - 16 2 10.68%
SPY230721P00460000 2023-01-23 10:50AM EST 460.00 61.80 57.70 60.33 +1.75 +2.91% 1 1 11.40%
SPY230721P00500000 2023-01-17 10:26AM EST 500.00 100.15 97.70 100.34 0.00 - - 0 16.71%
SPY230721P00520000 2023-01-20 3:18PM EST 520.00 124.33 117.69 120.34 0.00 - 2 0 19.08%
